Energy (eV),DOS,Intg. DOS
-10.298861,0.0,0.621284
-10.282223,0.0,0.621284
-10.265584,0.0,0.621284
-10.248946,0.0,0.621284
-10.232307,0.0,0.621284
-10.215669,0.0,0.621284
-10.19903,0.0,0.621284
-10.182391,0.0,0.621284
-10.165753,0.0,0.621284
-10.149114,0.0,0.621284
-10.132476,0.0,0.621284
-10.115837,0.0,0.621284
-10.099199,0.0,0.621284
-10.08256,0.0,0.621284
-10.065922,0.0,0.621284
-10.049283,0.0,0.621284
-10.032644,0.0,0.621284
-10.016006,0.0,0.621284
-9.999367,0.0,0.621284
-9.982729,0.0,0.621284
-9.96609,0.0,0.621284
-9.949452,0.0,0.621284
-9.932813,0.0,0.621284
-9.916175,0.0,0.621284
-9.899536,0.0,0.621284
-9.882897,0.0,0.621284
-9.866259,0.0,0.621284
-9.84962,0.0,0.621284
-9.832982,0.0,0.621284
-9.816343,0.0,0.621284
-9.799705,0.0,0.621284
-9.783066,0.0,0.621284
-9.766428,0.0,0.621284
-9.749789,0.0,0.621284
-9.733151,0.0,0.621284
-9.716512,0.0,0.621284
-9.699873,0.0,0.621284
-9.683235,0.0,0.621284
-9.666596,0.0,0.621284
-9.649958,0.0,0.621284
-9.633319,0.0,0.621284
-9.616681,0.0,0.621284
-9.600042,0.0,0.621284
-9.583404,0.0,0.621284
-9.566765,0.0,0.621284
-9.550126,0.0,0.621284
-9.533488,0.0,0.621284
-9.516849,0.0,0.621284
-9.500211,0.0,0.621284
-9.483572,0.0,0.621284
-9.466934,0.0,0.621284
-9.450295,0.0,0.621284
-9.433657,0.0,0.621284
-9.417018,0.0,0.621284
-9.400379,0.0,0.621284
-9.383741,0.0,0.621284
-9.367102,0.0,0.621284
-9.350464,0.0,0.621284
-9.333825,0.0,0.621284
-9.317187,0.0,0.621284
-9.300548,0.0,0.621284
-9.28391,0.0,0.621284
-9.267271,0.0,0.621284
-9.250632,0.0,0.621284
-9.233994,0.0,0.621284
-9.217355,0.0,0.621284
-9.200717,0.0,0.621284
-9.184078,0.0,0.621284
-9.16744,0.0,0.621284
-9.150801,0.0,0.621284
-9.134163,0.0,0.621284
-9.117524,0.0,0.621284
-9.100885,0.0,0.621284
-9.084247,0.0,0.621284
-9.067608,0.0,0.621284
-9.05097,0.0,0.621284
-9.034331,0.0,0.621284
-9.017693,0.0,0.621284
-9.001054,0.0,0.621284
-8.984416,0.0,0.621284
-8.967777,0.0,0.621284
-8.951138,0.0,0.621284
-8.9345,0.0,0.621284
-8.917861,0.0,0.621284
-8.901223,0.0,0.621284
-8.884584,0.0,0.621284
-8.867946,0.0,0.621284
-8.851307,0.0,0.621284
-8.834669,0.0,0.621284
-8.81803,0.0,0.621284
-8.801391,0.0,0.621284
-8.784753,0.0,0.621284
-8.768114,0.0,0.621284
-8.751476,0.0,0.621284
-8.734837,0.0,0.621284
-8.718199,0.0,0.621284
-8.70156,0.0,0.621284
-8.684922,0.0,0.621284
-8.668283,0.0,0.621284
-8.651644,0.0,0.621284
-8.635006,0.0,0.621284
-8.618367,0.0,0.621284
-8.601729,0.0,0.621284
-8.58509,0.0,0.621284
-8.568452,0.0,0.621284
-8.551813,0.0,0.621284
-8.535175,0.0,0.621284
-8.518536,0.0,0.621284
-8.501897,0.0,0.621284
-8.485259,0.0,0.621284
-8.46862,0.00049,0.621284
-8.451982,0.126006,0.622179
-8.435343,0.233974,0.625338
-8.418705,0.279707,0.629719
-8.402066,0.344334,0.634878
-8.385428,0.415858,0.64121
-8.368789,0.482455,0.648661
-8.35215,0.587687,0.657578
-8.335512,0.705991,0.668305
-8.318873,0.87445,0.681241
-8.302235,1.082421,0.69828
-8.285596,1.27285,0.717731
-8.268958,1.881601,0.741974
-8.252319,1.734926,0.774516
-8.235681,1.020937,0.795829
-8.219042,0.889841,0.811646
-8.202403,0.776997,0.825516
-8.185765,0.640849,0.83724
-8.169126,0.547137,0.84711
-8.152488,0.490027,0.85554
-8.135849,0.389745,0.863428
-8.119211,0.255525,0.868756
-8.102572,0.075827,0.871313
-8.085934,0.002957,0.871833
-8.069295,0.0,0.871837
-8.052656,0.0,0.871837
-8.036018,0.0,0.871837
-8.019379,0.0,0.871837
-8.002741,0.0,0.871837
-7.986102,0.0,0.871837
-7.969464,0.0,0.871837
-7.952825,0.0,0.871837
-7.936187,0.0,0.871837
-7.919548,0.0,0.871837
-7.902909,0.0,0.871837
-7.886271,0.0,0.871837
-7.869632,0.0,0.871837
-7.852994,0.0,0.871837
-7.836355,0.0,0.871837
-7.819717,0.0,0.871837
-7.803078,0.0,0.871837
-7.78644,0.0,0.871837
-7.769801,0.0,0.871837
-7.753162,0.0,0.871837
-7.736524,0.0,0.871837
-7.719885,0.0,0.871837
-7.703247,0.0,0.871837
-7.686608,0.0,0.871837
-7.66997,0.0,0.871837
-7.653331,0.0,0.871837
-7.636693,0.0,0.871837
-7.620054,0.0,0.871837
-7.603415,0.0,0.871837
-7.586777,0.0,0.871837
-7.570138,0.0,0.871837
-7.5535,0.0,0.871837
-7.536861,0.0,0.871837
-7.520223,0.0,0.871837
-7.503584,0.0,0.871837
-7.486946,0.0,0.871837
-7.470307,0.0,0.871837
-7.453669,0.0,0.871837
-7.43703,0.0,0.871837
-7.420391,0.0,0.871837
-7.403753,0.0,0.871837
-7.387114,0.0,0.871837
-7.370476,0.0,0.871837
-7.353837,0.0,0.871837
-7.337199,0.0,0.871837
-7.32056,0.0,0.871837
-7.303922,0.0,0.871837
-7.287283,0.0,0.871837
-7.270644,0.0,0.871837
-7.254006,0.0,0.871837
-7.237367,0.0,0.871837
-7.220729,0.0,0.871837
-7.20409,0.0,0.871837
-7.187452,0.0,0.871837
-7.170813,0.0,0.871837
-7.154175,0.0,0.871837
-7.137536,0.0,0.871837
-7.120897,0.0,0.871837
-7.104259,0.0,0.871837
-7.08762,0.0,0.871837
-7.070982,0.0,0.871837
-7.054343,0.0,0.871837
-7.037705,0.0,0.871837
-7.021066,0.0,0.871837
-7.004428,0.0,0.871837
-6.987789,0.0,0.871837
-6.97115,0.0,0.871837
-6.954512,0.0,0.871837
-6.937873,0.0,0.871837
-6.921235,0.0,0.871837
-6.904596,0.0,0.871837
-6.887958,0.0,0.871837
-6.871319,0.0,0.871837
-6.854681,0.0,0.871837
-6.838042,0.0,0.871837
-6.821403,0.0,0.871837
-6.804765,0.0,0.871837
-6.788126,0.0,0.871837
-6.771488,0.0,0.871837
-6.754849,0.0,0.871837
-6.738211,0.0,0.871837
-6.721572,0.0,0.871837
-6.704934,0.0,0.871837
-6.688295,0.0,0.871837
-6.671656,0.0,0.871837
-6.655018,0.0,0.871837
-6.638379,0.0,0.871837
-6.621741,0.0,0.871837
-6.605102,0.0,0.871837
-6.588464,0.0,0.871837
-6.571825,0.0,0.871837
-6.555187,0.0,0.871837
-6.538548,0.0,0.871837
-6.521909,0.0,0.871837
-6.505271,0.0,0.871837
-6.488632,0.0,0.871837
-6.471994,0.0,0.871837
-6.455355,0.007768,0.87187
-6.438717,0.04124,0.872241
-6.422078,0.101132,0.873389
-6.40544,0.231403,0.875954
-6.388801,0.256995,0.88048
-6.372162,0.296521,0.885073
-6.355524,0.342936,0.890387
-6.338885,0.39302,0.896505
-6.322247,0.446897,0.903486
-6.305608,0.534336,0.911543
-6.28897,0.571225,0.920724
-6.272331,0.622616,0.930636
-6.255693,0.684541,0.941499
-6.239054,0.759864,0.95349
-6.222415,0.943399,0.967386
-6.205777,1.073876,0.984098
-6.189138,1.255408,1.003405
-6.1725,1.486698,1.026154
-6.155861,1.781148,1.054518
-6.139223,1.819978,1.084399
-6.122584,1.8755,1.115121
-6.105946,1.962269,1.146996
-6.089307,2.157935,1.180145
-6.072668,2.031704,1.214546
-6.05603,1.94872,1.247587
-6.039391,1.950334,1.27976
-6.022753,2.297162,1.314847
-6.006114,2.859801,1.357386
-5.989476,3.360601,1.408698
-5.972837,3.411136,1.467097
-5.956199,2.865299,1.519279
-5.93956,2.618802,1.565474
-5.922921,2.406735,1.607144
-5.906283,2.293248,1.646145
-5.889644,2.207254,1.68346
-5.873006,2.181119,1.72018
-5.856367,2.223301,1.756697
-5.839729,2.231168,1.793674
-5.82309,2.770221,1.833601
-5.806452,2.512519,1.879336
-5.789813,2.237333,1.918872
-5.773174,1.900008,1.953154
-5.756536,1.751832,1.983437
-5.739897,1.461756,2.010418
-5.723259,1.305084,2.033354
-5.70662,1.184632,2.054041
-5.689982,1.095398,2.0729
-5.673343,1.165327,2.091399
-5.656705,1.383096,2.113409
-5.640066,1.278145,2.13581
-5.623427,1.065949,2.155615
-5.606789,0.784241,2.169874
-5.59015,0.828659,2.183005
-5.573512,1.065418,2.19893
-5.556873,1.32878,2.218713
-5.540235,1.741029,2.244056
-5.523596,2.825549,2.281971
-5.506958,3.999868,2.339265
-5.490319,4.215214,2.407721
-5.47368,4.187563,2.478084
-5.457042,4.690181,2.551567
-5.440403,5.350029,2.634927
-5.423765,5.92999,2.730964
-5.407126,4.898841,2.821969
-5.390488,4.254207,2.897306
-5.373849,3.80153,2.963415
-5.357211,3.571644,3.024371
-5.340572,3.617576,3.083899
-5.323933,5.053052,3.154751
-5.307295,6.028195,3.248371
-5.290656,6.101782,3.350311
-5.274018,6.334581,3.452612
-5.257379,6.162929,3.561311
-5.240741,4.573787,3.647546
-5.224102,3.741738,3.716447
-5.207464,3.203327,3.773758
-5.190825,2.838292,3.824025
-5.174187,2.466202,3.868204
-5.157548,2.101925,3.906378
-5.140909,1.644366,3.938042
-5.124271,1.261187,3.962151
-5.107632,1.002183,3.980894
-5.090994,0.709601,3.995609
-5.074355,0.316661,4.00387
-5.057717,0.175762,4.007578
-5.041078,0.224757,4.010771
-5.02444,0.558867,4.016265
-5.007801,1.648855,4.033332
-4.991162,3.309371,4.075283
-4.974524,5.520347,4.147587
-4.957885,9.155366,4.263264
-4.941247,9.215967,4.416833
-4.924608,9.050254,4.569107
-4.90797,8.95617,4.718382
-4.891331,9.725177,4.875153
-4.874693,9.998637,5.039168
-4.858054,10.251755,5.20726
-4.841415,10.58677,5.38072
-4.824777,11.600965,5.567134
-4.808138,13.154617,5.772897
-4.7915,9.622748,5.97064
-4.774861,8.974167,6.124608
-4.758223,11.076987,6.290852
-4.741584,8.700351,6.462688
-4.724946,6.514558,6.59111
-4.708307,4.082512,6.677295
-4.691668,4.186467,6.73966
-4.67503,8.000132,6.833942
-4.658391,9.423573,6.973162
-4.641753,15.267646,7.173783
-4.625114,13.641533,7.429887
-4.608476,11.066391,7.63874
-4.591837,9.601958,7.807359
-4.575199,7.487708,7.954041
-4.55856,9.901696,8.050337
-4.541921,15.140547,8.271927
-4.525283,17.095386,8.536372
-4.508644,13.53263,8.796405
-4.492006,12.746377,9.013466
-4.475367,11.797506,9.222061
-4.458729,11.468722,9.414026
-4.44209,16.444357,9.639014
-4.425452,11.191749,9.869609
-4.408813,12.636019,10.064821
-4.392174,12.938877,10.272556
-4.375536,16.617244,10.517064
-4.358897,18.222691,10.817094
-4.342259,11.521363,11.07559
-4.32562,5.370924,11.201555
-4.308982,4.216331,11.27918
-4.292343,5.577616,11.35655
-4.275705,7.885225,11.473563
-4.259066,9.503263,11.618807
-4.242427,11.261645,11.78996
-4.225789,14.183315,11.999406
-4.20915,21.478135,12.291477
-4.192512,22.910235,12.706133
-4.175873,20.296689,13.040952
-4.159235,17.125937,13.376443
-4.142596,18.202662,13.65796
-4.125958,31.264392,14.14393
-4.109319,18.285101,14.671604
-4.09268,7.855407,14.846303
-4.076042,4.13716,14.948362
-4.059403,3.628056,15.009921
-4.042765,3.845387,15.072069
-4.026126,4.098234,15.137833
-4.009488,5.037127,15.212527
-3.992849,6.916106,15.310206
-3.976211,7.814446,15.438099
-3.959572,8.614669,15.573719
-3.942933,9.398215,15.727682
-3.926295,10.8895,15.894236
-3.909656,8.527175,16.060231
-3.893018,6.57888,16.185113
-3.876379,5.638531,16.284984
-3.859741,5.510918,16.377193
-3.843102,6.04642,16.470494
-3.826464,9.957229,16.595939
-3.809825,9.123459,16.751178
-3.793186,8.856367,16.900537
-3.776548,7.713526,17.041975
-3.759909,7.061274,17.162165
-3.743271,6.714363,17.27821
-3.726632,5.963578,17.382914
-3.709994,5.421933,17.47763
-3.693355,4.862328,17.563497
-3.676717,4.417036,17.641546
-3.660078,3.956573,17.717341
-3.643439,3.434118,17.77856
-3.626801,3.147033,17.832975
-3.610162,3.07291,17.884445
-3.593524,3.245807,17.936657
-3.576885,3.4248,17.992676
-3.560247,3.422316,18.049647
-3.543608,3.482928,18.106674
-3.52697,4.108424,18.169995
-3.510331,4.240385,18.239476
-3.493692,4.298867,18.310652
-3.477054,4.235455,18.381908
-3.460415,4.026872,18.45068
-3.443777,3.877665,18.516197
-3.427138,3.747216,18.579707
-3.4105,3.616982,18.640879
-3.393861,3.53963,18.700404
-3.377223,3.465104,18.758683
-3.360584,3.42341,18.815702
-3.343945,3.367088,18.873928
-3.327307,3.169587,18.928738
-3.310668,3.007925,18.979813
-3.29403,2.738545,19.026949
-3.277391,2.579129,19.071161
-3.260753,2.522992,19.113859
-3.244114,2.431981,19.155059
-3.227476,2.34708,19.194813
-3.210837,2.261408,19.233155
-3.194198,2.173412,19.270053
-3.17756,2.083092,19.305467
-3.160921,2.009238,19.339452
-3.144283,1.951974,19.372493
-3.127644,1.865099,19.404214
-3.111006,1.798251,19.434656
-3.094367,1.775004,19.464352
-3.077729,1.852439,19.495197
-3.06109,1.800147,19.525442
-3.044451,1.822312,19.555585
-3.027813,1.838983,19.586052
-3.011174,1.871719,19.616805
-2.994536,1.936529,19.649429
-2.977897,2.269654,19.684649
-2.961259,2.304516,19.723026
-2.94462,1.848303,19.757385
-2.927982,1.564289,19.786826
-2.911343,1.476453,19.811976
-2.894705,1.460371,19.836308
-2.878066,1.525003,19.861034
-2.861427,1.650669,19.887574
-2.844789,1.689663,19.915412
-2.82815,1.811186,19.944498
-2.811512,1.946602,19.975746
-2.794873,2.149962,20.010007
-2.778235,2.30028,20.047026
-2.761596,2.462253,20.086638
-2.744958,2.681819,20.129107
-2.728319,2.929066,20.175813
-2.71168,3.071795,20.225606
-2.695042,3.127198,20.277197
-2.678403,3.345242,20.330808
-2.661765,3.272394,20.385756
-2.645126,3.397357,20.443473
-2.628488,3.191329,20.498618
-2.611849,2.829903,20.548822
-2.595211,2.768483,20.594883
-2.578572,2.24211,20.635382
-2.561933,2.45229,20.673116
-2.545295,3.168516,20.720858
-2.528656,3.239163,20.774749
-2.512018,3.180919,20.828394
-2.495379,2.736653,20.877201
-2.478741,2.460687,20.920225
-2.462102,2.230555,20.959287
-2.445464,1.865925,20.993706
-2.428825,1.595385,21.022258
-2.412186,1.459351,21.047826
-2.395548,1.148439,21.070111
-2.378909,0.744185,21.085176
-2.362271,0.74413,21.097464
-2.345632,0.844615,21.110535
-2.328994,1.017984,21.126094
-2.312355,1.15452,21.144156
-2.295717,1.339687,21.165918
-2.279078,1.206301,21.187883
-2.262439,1.043542,21.207868
-2.245801,1.062377,21.225412
-2.229162,1.121019,21.243427
-2.212524,1.12152,21.262717
-2.195885,1.142515,21.281396
-2.179247,1.187325,21.300775
-2.162608,1.214439,21.320813
-2.14597,1.445401,21.342349
-2.129331,1.523825,21.366699
-2.112692,1.704147,21.396819
-2.096054,1.715663,21.425264
-2.079415,1.891389,21.454694
-2.062777,1.952518,21.48726
-2.046138,2.110374,21.518939
-2.0295,1.028185,21.544085
-2.012861,0.732072,21.557458
-1.996223,0.762909,21.569783
-1.979584,0.8764,21.583278
-1.962945,1.833388,21.604181
-1.946307,2.622559,21.640963
-1.929668,2.199721,21.688391
-1.91303,1.51782,21.717417
-1.896391,1.217802,21.740023
-1.879753,0.99307,21.758029
-1.863114,0.868162,21.77348
-1.846476,0.784203,21.787222
-1.829837,0.703459,21.799594
-1.813198,0.624717,21.810643
-1.79656,0.536719,21.820306
-1.779921,0.467035,21.828582
-1.763283,0.431194,21.835924
-1.746644,0.563628,21.845633
-1.730006,0.480256,21.854196
-1.713367,0.725987,21.862455
-1.696729,0.818704,21.87516
-1.68009,1.127908,21.89138
-1.663451,1.465947,21.912537
-1.646813,2.062968,21.941555
-1.630174,3.494752,21.989057
-1.613536,3.431502,22.045853
-1.596897,3.005537,22.100523
-1.580259,2.543055,22.145989
-1.56362,2.460752,22.187163
-1.546982,2.208637,22.227981
-1.530343,1.919088,22.262245
-1.513704,1.678968,22.292112
-1.497066,1.48201,22.318368
-1.480427,1.262447,22.341128
-1.463789,1.135428,22.360983
-1.44715,1.056894,22.379254
-1.430512,0.903734,22.395542
-1.413873,1.024257,22.411105
-1.397235,1.069561,22.428758
-1.380596,1.068801,22.446581
-1.363957,1.050664,22.464228
-1.347319,0.992462,22.48148
-1.33068,0.920034,22.496998
-1.314042,0.976923,22.51331
-1.297403,0.899878,22.528686
-1.280765,0.790907,22.542802
-1.264126,0.698075,22.555154
-1.247488,0.631082,22.566175
-1.230849,0.591663,22.576302
-1.21421,0.668771,22.586048
-1.197572,0.602693,22.596613
-1.180933,0.547441,22.606159
-1.164295,0.519833,22.614992
-1.147656,0.541067,22.623758
-1.131018,0.580033,22.633074
-1.114379,0.626489,22.643101
-1.097741,0.680438,22.653963
-1.081102,0.741685,22.665792
-1.064463,0.792554,22.678548
-1.047825,0.849553,22.6922
-1.031186,0.912324,22.706851
-1.014548,1.00803,22.722679
-0.997909,1.261953,22.741322
-0.981271,1.401817,22.763201
-0.964632,2.113937,22.793732
-0.947994,1.998164,22.827987
-0.931355,1.828684,22.859956
-0.914716,1.664572,22.8891
-0.898078,1.21386,22.913226
-0.881439,1.130468,22.932477
-0.864801,1.086805,22.950916
-0.848162,1.048364,22.968672
-0.831524,1.015393,22.985832
-0.814885,0.988866,23.002497
-0.798247,0.966909,23.018763
-0.781608,0.947604,23.03469
-0.764969,0.932227,23.050315
-0.748331,0.920919,23.065729
-0.731692,0.912162,23.080973
-0.715054,0.935326,23.096257
-0.698415,0.980849,23.112227
-0.681777,1.082258,23.130409
-0.665138,0.982821,23.147597
-0.6485,0.877588,23.163083
-0.631861,0.766558,23.176769
-0.615223,0.649732,23.188559
-0.598584,0.538933,23.198421
-0.581945,0.448172,23.206602
-0.565307,0.381379,23.213478
