Energy (eV),DOS,Intg. DOS
-10.298861,0.0,0.316941
-10.282223,0.0,0.316941
-10.265584,0.0,0.316941
-10.248946,0.0,0.316941
-10.232307,0.0,0.316941
-10.215669,0.0,0.316941
-10.19903,0.0,0.316941
-10.182391,0.0,0.316941
-10.165753,0.0,0.316941
-10.149114,0.0,0.316941
-10.132476,0.0,0.316941
-10.115837,0.0,0.316941
-10.099199,0.0,0.316941
-10.08256,0.0,0.316941
-10.065922,0.0,0.316941
-10.049283,0.0,0.316941
-10.032644,0.0,0.316941
-10.016006,0.0,0.316941
-9.999367,0.0,0.316941
-9.982729,0.0,0.316941
-9.96609,0.0,0.316941
-9.949452,0.0,0.316941
-9.932813,0.0,0.316941
-9.916175,0.0,0.316941
-9.899536,0.0,0.316941
-9.882897,0.0,0.316941
-9.866259,0.0,0.316941
-9.84962,0.0,0.316941
-9.832982,0.0,0.316941
-9.816343,0.0,0.316941
-9.799705,0.0,0.316941
-9.783066,0.0,0.316941
-9.766428,0.0,0.316941
-9.749789,0.0,0.316941
-9.733151,0.0,0.316941
-9.716512,0.0,0.316941
-9.699873,0.0,0.316941
-9.683235,0.0,0.316941
-9.666596,0.0,0.316941
-9.649958,0.0,0.316941
-9.633319,0.0,0.316941
-9.616681,0.0,0.316941
-9.600042,0.0,0.316941
-9.583404,0.0,0.316941
-9.566765,0.0,0.316941
-9.550126,0.0,0.316941
-9.533488,0.0,0.316941
-9.516849,0.0,0.316941
-9.500211,0.0,0.316941
-9.483572,0.0,0.316941
-9.466934,0.0,0.316941
-9.450295,0.0,0.316941
-9.433657,0.0,0.316941
-9.417018,0.0,0.316941
-9.400379,0.0,0.316941
-9.383741,0.0,0.316941
-9.367102,0.0,0.316941
-9.350464,0.0,0.316941
-9.333825,0.0,0.316941
-9.317187,0.0,0.316941
-9.300548,0.0,0.316941
-9.28391,0.0,0.316941
-9.267271,0.0,0.316941
-9.250632,0.0,0.316941
-9.233994,0.0,0.316941
-9.217355,0.0,0.316941
-9.200717,0.0,0.316941
-9.184078,0.0,0.316941
-9.16744,0.0,0.316941
-9.150801,0.0,0.316941
-9.134163,0.0,0.316941
-9.117524,0.0,0.316941
-9.100885,0.0,0.316941
-9.084247,0.0,0.316941
-9.067608,0.0,0.316941
-9.05097,0.0,0.316941
-9.034331,0.0,0.316941
-9.017693,0.0,0.316941
-9.001054,0.0,0.316941
-8.984416,0.0,0.316941
-8.967777,0.0,0.316941
-8.951138,0.0,0.316941
-8.9345,0.0,0.316941
-8.917861,0.0,0.316941
-8.901223,0.0,0.316941
-8.884584,0.0,0.316941
-8.867946,0.0,0.316941
-8.851307,0.0,0.316941
-8.834669,0.0,0.316941
-8.81803,0.0,0.316941
-8.801391,0.0,0.316941
-8.784753,0.0,0.316941
-8.768114,0.0,0.316941
-8.751476,0.0,0.316941
-8.734837,0.0,0.316941
-8.718199,0.0,0.316941
-8.70156,0.0,0.316941
-8.684922,0.0,0.316941
-8.668283,0.0,0.316941
-8.651644,0.0,0.316941
-8.635006,0.0,0.316941
-8.618367,0.0,0.316941
-8.601729,0.0,0.316941
-8.58509,0.0,0.316941
-8.568452,0.0,0.316941
-8.551813,0.0,0.316941
-8.535175,0.0,0.316941
-8.518536,0.0,0.316941
-8.501897,0.0,0.316941
-8.485259,0.0,0.316941
-8.46862,0.000246,0.316941
-8.451982,0.063143,0.31739
-8.435343,0.117989,0.318978
-8.418705,0.141733,0.321194
-8.402066,0.175231,0.323814
-8.385428,0.212437,0.327042
-8.368789,0.24739,0.330857
-8.35215,0.301512,0.335433
-8.335512,0.361664,0.340933
-8.318873,0.445418,0.34755
-8.302235,0.556352,0.356197
-8.285596,0.669183,0.366313
-8.268958,1.00682,0.379179
-8.252319,0.948352,0.396764
-8.235681,0.581084,0.408641
-8.219042,0.518849,0.417757
-8.202403,0.464712,0.425938
-8.185765,0.402517,0.433135
-8.169126,0.35236,0.439413
-8.152488,0.325714,0.444915
-8.135849,0.267706,0.450278
-8.119211,0.177089,0.453952
-8.102572,0.053084,0.455738
-8.085934,0.00207,0.456102
-8.069295,0.0,0.456104
-8.052656,0.0,0.456104
-8.036018,0.0,0.456104
-8.019379,0.0,0.456104
-8.002741,0.0,0.456104
-7.986102,0.0,0.456104
-7.969464,0.0,0.456104
-7.952825,0.0,0.456104
-7.936187,0.0,0.456104
-7.919548,0.0,0.456104
-7.902909,0.0,0.456104
-7.886271,0.0,0.456104
-7.869632,0.0,0.456104
-7.852994,0.0,0.456104
-7.836355,0.0,0.456104
-7.819717,0.0,0.456104
-7.803078,0.0,0.456104
-7.78644,0.0,0.456104
-7.769801,0.0,0.456104
-7.753162,0.0,0.456104
-7.736524,0.0,0.456104
-7.719885,0.0,0.456104
-7.703247,0.0,0.456104
-7.686608,0.0,0.456104
-7.66997,0.0,0.456104
-7.653331,0.0,0.456104
-7.636693,0.0,0.456104
-7.620054,0.0,0.456104
-7.603415,0.0,0.456104
-7.586777,0.0,0.456104
-7.570138,0.0,0.456104
-7.5535,0.0,0.456104
-7.536861,0.0,0.456104
-7.520223,0.0,0.456104
-7.503584,0.0,0.456104
-7.486946,0.0,0.456104
-7.470307,0.0,0.456104
-7.453669,0.0,0.456104
-7.43703,0.0,0.456104
-7.420391,0.0,0.456104
-7.403753,0.0,0.456104
-7.387114,0.0,0.456104
-7.370476,0.0,0.456104
-7.353837,0.0,0.456104
-7.337199,0.0,0.456104
-7.32056,0.0,0.456104
-7.303922,0.0,0.456104
-7.287283,0.0,0.456104
-7.270644,0.0,0.456104
-7.254006,0.0,0.456104
-7.237367,0.0,0.456104
-7.220729,0.0,0.456104
-7.20409,0.0,0.456104
-7.187452,0.0,0.456104
-7.170813,0.0,0.456104
-7.154175,0.0,0.456104
-7.137536,0.0,0.456104
-7.120897,0.0,0.456104
-7.104259,0.0,0.456104
-7.08762,0.0,0.456104
-7.070982,0.0,0.456104
-7.054343,0.0,0.456104
-7.037705,0.0,0.456104
-7.021066,0.0,0.456104
-7.004428,0.0,0.456104
-6.987789,0.0,0.456104
-6.97115,0.0,0.456104
-6.954512,0.0,0.456104
-6.937873,0.0,0.456104
-6.921235,0.0,0.456104
-6.904596,0.0,0.456104
-6.887958,0.0,0.456104
-6.871319,0.0,0.456104
-6.854681,0.0,0.456104
-6.838042,0.0,0.456104
-6.821403,0.0,0.456104
-6.804765,0.0,0.456104
-6.788126,0.0,0.456104
-6.771488,0.0,0.456104
-6.754849,0.0,0.456104
-6.738211,0.0,0.456104
-6.721572,0.0,0.456104
-6.704934,0.0,0.456104
-6.688295,0.0,0.456104
-6.671656,0.0,0.456104
-6.655018,0.0,0.456104
-6.638379,0.0,0.456104
-6.621741,0.0,0.456104
-6.605102,0.0,0.456104
-6.588464,0.0,0.456104
-6.571825,0.0,0.456104
-6.555187,0.0,0.456104
-6.538548,0.0,0.456104
-6.521909,0.0,0.456104
-6.505271,0.0,0.456104
-6.488632,0.0,0.456104
-6.471994,0.0,0.456104
-6.455355,0.00322,0.456118
-6.438717,0.017091,0.456272
-6.422078,0.041912,0.456748
-6.40544,0.095704,0.45781
-6.388801,0.104093,0.459668
-6.372162,0.117973,0.461511
-6.355524,0.134583,0.46361
-6.338885,0.152597,0.465997
-6.322247,0.172039,0.468695
-6.305608,0.203067,0.47178
-6.28897,0.212298,0.475228
-6.272331,0.227326,0.478877
-6.255693,0.246077,0.482812
-6.239054,0.268738,0.487088
-6.222415,0.324342,0.491936
-6.205777,0.364639,0.497647
-6.189138,0.42007,0.504154
-6.1725,0.489917,0.511708
-6.155861,0.571616,0.520968
-6.139223,0.576095,0.530483
-6.122584,0.588348,0.540162
-6.105946,0.610274,0.550119
-6.089307,0.670609,0.560411
-6.072668,0.607925,0.570898
-6.05603,0.558987,0.580581
-6.039391,0.538462,0.589623
-6.022753,0.632879,0.599266
-6.006114,0.804066,0.611116
-5.989476,0.976993,0.625785
-5.972837,1.020941,0.643108
-5.956199,0.83843,0.658589
-5.93956,0.747367,0.672152
-5.922921,0.655753,0.683782
-5.906283,0.593607,0.694145
-5.889644,0.544291,0.703566
-5.873006,0.514071,0.712448
-5.856367,0.509421,0.720934
-5.839729,0.468098,0.729042
-5.82309,0.484951,0.736822
-5.806452,0.446836,0.744786
-5.789813,0.399936,0.751837
-5.773174,0.347499,0.758034
-5.756536,0.318039,0.763559
-5.739897,0.277939,0.768528
-5.723259,0.255873,0.772959
-5.70662,0.238266,0.777066
-5.689982,0.224431,0.780903
-5.673343,0.227988,0.784635
-5.656705,0.259799,0.788783
-5.640066,0.243968,0.793018
-5.623427,0.211475,0.796858
-5.606789,0.159763,0.799745
-5.59015,0.165154,0.802398
-5.573512,0.191303,0.805442
-5.556873,0.203032,0.808716
-5.540235,0.246232,0.812394
-5.523596,0.396969,0.817714
-5.506958,0.56169,0.825923
-5.490319,0.588257,0.83551
-5.47368,0.523322,0.844986
-5.457042,0.522131,0.853662
-5.440403,0.534946,0.86245
-5.423765,0.486794,0.871033
-5.407126,0.357927,0.878223
-5.390488,0.251511,0.883199
-5.373849,0.203741,0.886846
-5.357211,0.174955,0.889969
-5.340572,0.166395,0.892786
-5.323933,0.239787,0.895994
-5.307295,0.307909,0.900642
-5.290656,0.315776,0.905895
-5.274018,0.325502,0.911185
-5.257379,0.325816,0.916805
-5.240741,0.235734,0.921284
-5.224102,0.195795,0.924853
-5.207464,0.169817,0.927877
-5.190825,0.149142,0.930531
-5.174187,0.126201,0.932837
-5.157548,0.106554,0.934773
-5.140909,0.082194,0.936368
-5.124271,0.056738,0.937511
-5.107632,0.041331,0.938323
-5.090994,0.027564,0.938904
-5.074355,0.009974,0.939202
-5.057717,0.00397,0.939301
-5.041078,0.005145,0.939374
-5.02444,0.019786,0.939527
-5.007801,0.068361,0.940215
-4.991162,0.119645,0.941826
-4.974524,0.200551,0.944444
-4.957885,0.340331,0.948677
-4.941247,0.329309,0.954244
-4.924608,0.313165,0.959614
-4.90797,0.300303,0.964695
-4.891331,0.316584,0.969863
-4.874693,0.312681,0.975121
-4.858054,0.308241,0.980253
-4.841415,0.282406,0.985184
-4.824777,0.281026,0.989873
-4.808138,0.288635,0.994608
-4.7915,0.233228,0.999068
-4.774861,0.209446,1.002754
-4.758223,0.24044,1.006488
-4.741584,0.182958,1.01017
-4.724946,0.132274,1.012827
-4.708307,0.079694,1.014546
-4.691668,0.071744,1.015687
-4.67503,0.13698,1.01729
-4.658391,0.151087,1.019609
-4.641753,0.211924,1.022581
-4.625114,0.18898,1.02608
-4.608476,0.159365,1.028979
-4.591837,0.143776,1.031466
-4.575199,0.121263,1.033736
-4.55856,0.145057,1.035582
-4.541921,0.189995,1.038474
-4.525283,0.218137,1.041849
-4.508644,0.210515,1.045519
-4.492006,0.215056,1.049065
-4.475367,0.213239,1.052676
-4.458729,0.231384,1.056326
-4.44209,0.401558,1.061398
-4.425452,0.299845,1.067246
-4.408813,0.314654,1.072292
-4.392174,0.348339,1.077724
-4.375536,0.45825,1.084377
-4.358897,0.501017,1.092721
-4.342259,0.298048,1.099526
-4.32562,0.127333,1.102752
-4.308982,0.079936,1.104405
-4.292343,0.095145,1.10576
-4.275705,0.133716,1.107779
-4.259066,0.156865,1.11021
-4.242427,0.177031,1.112969
-4.225789,0.219675,1.116218
-4.20915,0.296565,1.120575
-4.192512,0.291683,1.125894
-4.175873,0.263158,1.130219
-4.159235,0.209934,1.13446
-4.142596,0.237849,1.138023
-4.125958,0.449875,1.144621
-4.109319,0.380906,1.153583
-4.09268,0.168732,1.157287
-4.076042,0.084782,1.159477
-4.059403,0.075971,1.160752
-4.042765,0.08191,1.162065
-4.026126,0.088119,1.163474
-4.009488,0.107478,1.165074
-3.992849,0.151275,1.167164
-3.976211,0.17201,1.169948
-3.959572,0.183636,1.172882
-3.942933,0.196856,1.176135
-3.926295,0.221947,1.179571
-3.909656,0.186679,1.18306
-3.893018,0.150753,1.185857
-3.876379,0.132424,1.188179
-3.859741,0.131778,1.190359
