Energy (eV),DOS,Intg. DOS
-10.298861,0.0,7.061775
-10.282223,0.0,7.061775
-10.265584,0.0,7.061775
-10.248946,0.0,7.061775
-10.232307,0.0,7.061775
-10.215669,0.0,7.061775
-10.19903,0.0,7.061775
-10.182391,0.0,7.061775
-10.165753,0.0,7.061775
-10.149114,0.0,7.061775
-10.132476,0.0,7.061775
-10.115837,0.0,7.061775
-10.099199,0.0,7.061775
-10.08256,0.0,7.061775
-10.065922,0.0,7.061775
-10.049283,0.0,7.061775
-10.032644,0.0,7.061775
-10.016006,0.0,7.061775
-9.999367,0.0,7.061775
-9.982729,0.0,7.061775
-9.96609,0.0,7.061775
-9.949452,0.0,7.061775
-9.932813,0.0,7.061775
-9.916175,0.0,7.061775
-9.899536,0.0,7.061775
-9.882897,0.0,7.061775
-9.866259,0.0,7.061775
-9.84962,0.0,7.061775
-9.832982,0.0,7.061775
-9.816343,0.0,7.061775
-9.799705,0.0,7.061775
-9.783066,0.0,7.061775
-9.766428,0.0,7.061775
-9.749789,0.0,7.061775
-9.733151,0.0,7.061775
-9.716512,0.0,7.061775
-9.699873,0.0,7.061775
-9.683235,0.0,7.061775
-9.666596,0.0,7.061775
-9.649958,0.0,7.061775
-9.633319,0.0,7.061775
-9.616681,0.0,7.061775
-9.600042,0.0,7.061775
-9.583404,0.0,7.061775
-9.566765,0.0,7.061775
-9.550126,0.0,7.061775
-9.533488,0.0,7.061775
-9.516849,0.0,7.061775
-9.500211,0.0,7.061775
-9.483572,0.0,7.061775
-9.466934,0.0,7.061775
-9.450295,0.0,7.061775
-9.433657,0.0,7.061775
-9.417018,0.0,7.061775
-9.400379,0.0,7.061775
-9.383741,0.0,7.061775
-9.367102,0.0,7.061775
-9.350464,0.0,7.061775
-9.333825,0.0,7.061775
-9.317187,0.0,7.061775
-9.300548,0.0,7.061775
-9.28391,0.0,7.061775
-9.267271,0.0,7.061775
-9.250632,0.0,7.061775
-9.233994,0.0,7.061775
-9.217355,0.0,7.061775
-9.200717,0.0,7.061775
-9.184078,0.0,7.061775
-9.16744,0.0,7.061775
-9.150801,0.0,7.061775
-9.134163,0.0,7.061775
-9.117524,0.0,7.061775
-9.100885,0.0,7.061775
-9.084247,0.0,7.061775
-9.067608,0.0,7.061775
-9.05097,0.0,7.061775
-9.034331,0.0,7.061775
-9.017693,0.0,7.061775
-9.001054,0.0,7.061775
-8.984416,0.0,7.061775
-8.967777,0.0,7.061775
-8.951138,0.0,7.061775
