Energy (eV),DOS,Intg. DOS
-10.298861,0.0,0.866508
-10.282223,0.0,0.866508
-10.265584,0.0,0.866508
-10.248946,0.0,0.866508
-10.232307,0.0,0.866508
-10.215669,0.0,0.866508
-10.19903,0.0,0.866508
-10.182391,0.0,0.866508
-10.165753,0.0,0.866508
-10.149114,0.0,0.866508
-10.132476,0.0,0.866508
-10.115837,0.0,0.866508
-10.099199,0.0,0.866508
-10.08256,0.0,0.866508
-10.065922,0.0,0.866508
-10.049283,0.0,0.866508
-10.032644,0.0,0.866508
-10.016006,0.0,0.866508
-9.999367,0.0,0.866508
-9.982729,0.0,0.866508
-9.96609,0.0,0.866508
-9.949452,0.0,0.866508
-9.932813,0.0,0.866508
-9.916175,0.0,0.866508
-9.899536,0.0,0.866508
-9.882897,0.0,0.866508
-9.866259,0.0,0.866508
-9.84962,0.0,0.866508
-9.832982,0.0,0.866508
-9.816343,0.0,0.866508
-9.799705,0.0,0.866508
-9.783066,0.0,0.866508
-9.766428,0.0,0.866508
-9.749789,0.0,0.866508
-9.733151,0.0,0.866508
-9.716512,0.0,0.866508
-9.699873,0.0,0.866508
-9.683235,0.0,0.866508
-9.666596,0.0,0.866508
-9.649958,0.0,0.866508
-9.633319,0.0,0.866508
-9.616681,0.0,0.866508
-9.600042,0.0,0.866508
-9.583404,0.0,0.866508
-9.566765,0.0,0.866508
-9.550126,0.0,0.866508
-9.533488,0.0,0.866508
-9.516849,0.0,0.866508
-9.500211,0.0,0.866508
-9.483572,0.0,0.866508
-9.466934,0.0,0.866508
-9.450295,0.0,0.866508
-9.433657,0.0,0.866508
-9.417018,0.0,0.866508
-9.400379,0.0,0.866508
-9.383741,0.0,0.866508
-9.367102,0.0,0.866508
-9.350464,0.0,0.866508
-9.333825,0.0,0.866508
-9.317187,0.0,0.866508
-9.300548,0.0,0.866508
-9.28391,0.0,0.866508
-9.267271,0.0,0.866508
-9.250632,0.0,0.866508
-9.233994,0.0,0.866508
-9.217355,0.0,0.866508
-9.200717,0.0,0.866508
-9.184078,0.0,0.866508
-9.16744,0.0,0.866508
-9.150801,0.0,0.866508
-9.134163,0.0,0.866508
-9.117524,0.0,0.866508
-9.100885,0.0,0.866508
-9.084247,0.0,0.866508
-9.067608,0.0,0.866508
-9.05097,0.0,0.866508
-9.034331,0.0,0.866508
-9.017693,0.0,0.866508
-9.001054,0.0,0.866508
-8.984416,0.0,0.866508
-8.967777,0.0,0.866508
-8.951138,0.0,0.866508
-8.9345,0.0,0.866508
-8.917861,0.0,0.866508
-8.901223,0.0,0.866508
-8.884584,0.0,0.866508
-8.867946,0.0,0.866508
-8.851307,0.0,0.866508
-8.834669,0.0,0.866508
-8.81803,0.0,0.866508
-8.801391,0.0,0.866508
-8.784753,0.0,0.866508
-8.768114,0.0,0.866508
-8.751476,0.0,0.866508
-8.734837,0.0,0.866508
-8.718199,0.0,0.866508
-8.70156,0.0,0.866508
-8.684922,0.0,0.866508
-8.668283,0.0,0.866508
-8.651644,0.0,0.866508
-8.635006,0.0,0.866508
-8.618367,0.0,0.866508
-8.601729,0.0,0.866508
-8.58509,0.0,0.866508
-8.568452,0.0,0.866508
-8.551813,0.0,0.866508
-8.535175,0.0,0.866508
-8.518536,0.0,0.866508
-8.501897,0.0,0.866508
-8.485259,0.0,0.866508
-8.46862,0.001204,0.866509
-8.451982,0.305043,0.868693
-8.435343,0.546391,0.876192
-8.418705,0.630615,0.886267
-8.402066,0.761383,0.897766
-8.385428,0.905874,0.911663
-8.368789,1.028205,0.92773
-8.35215,1.220246,0.946466
-8.335512,1.433505,0.96848
-8.318873,1.72919,0.994462
-8.302235,2.124232,1.027532
-8.285596,2.545518,1.066074
-8.268958,3.79921,1.114866
-8.252319,3.580308,1.181134
-8.235681,2.227196,1.226315
-8.219042,2.000331,1.261367
-8.202403,1.801894,1.29299
-8.185765,1.581966,1.321096
-8.169126,1.393641,1.345849
-8.152488,1.296491,1.367681
-8.135849,1.079899,1.389146
-8.119211,0.724618,1.404057
-8.102572,0.219978,1.411419
-8.085934,0.008578,1.412928
-8.069295,0.0,1.41294
-8.052656,0.0,1.41294
-8.036018,0.0,1.41294
-8.019379,0.0,1.41294
-8.002741,0.0,1.41294
-7.986102,0.0,1.41294
-7.969464,0.0,1.41294
-7.952825,0.0,1.41294
-7.936187,0.0,1.41294
-7.919548,0.0,1.41294
-7.902909,0.0,1.41294
-7.886271,0.0,1.41294
-7.869632,0.0,1.41294
-7.852994,0.0,1.41294
-7.836355,0.0,1.41294
-7.819717,0.0,1.41294
-7.803078,0.0,1.41294
-7.78644,0.0,1.41294
-7.769801,0.0,1.41294
-7.753162,0.0,1.41294
-7.736524,0.0,1.41294
-7.719885,0.0,1.41294
-7.703247,0.0,1.41294
-7.686608,0.0,1.41294
-7.66997,0.0,1.41294
-7.653331,0.0,1.41294
-7.636693,0.0,1.41294
-7.620054,0.0,1.41294
-7.603415,0.0,1.41294
-7.586777,0.0,1.41294
-7.570138,0.0,1.41294
-7.5535,0.0,1.41294
-7.536861,0.0,1.41294
-7.520223,0.0,1.41294
-7.503584,0.0,1.41294
-7.486946,0.0,1.41294
-7.470307,0.0,1.41294
-7.453669,0.0,1.41294
-7.43703,0.0,1.41294
-7.420391,0.0,1.41294
-7.403753,0.0,1.41294
-7.387114,0.0,1.41294
-7.370476,0.0,1.41294
-7.353837,0.0,1.41294
-7.337199,0.0,1.41294
-7.32056,0.0,1.41294
-7.303922,0.0,1.41294
-7.287283,0.0,1.41294
-7.270644,0.0,1.41294
-7.254006,0.0,1.41294
-7.237367,0.0,1.41294
-7.220729,0.0,1.41294
-7.20409,0.0,1.41294
-7.187452,0.0,1.41294
-7.170813,0.0,1.41294
-7.154175,0.0,1.41294
-7.137536,0.0,1.41294
-7.120897,0.0,1.41294
-7.104259,0.0,1.41294
-7.08762,0.0,1.41294
-7.070982,0.0,1.41294
-7.054343,0.0,1.41294
-7.037705,0.0,1.41294
-7.021066,0.0,1.41294
-7.004428,0.0,1.41294
-6.987789,0.0,1.41294
-6.97115,0.0,1.41294
-6.954512,0.0,1.41294
-6.937873,0.0,1.41294
-6.921235,0.0,1.41294
-6.904596,0.0,1.41294
-6.887958,0.0,1.41294
-6.871319,0.0,1.41294
-6.854681,0.0,1.41294
-6.838042,0.0,1.41294
-6.821403,0.0,1.41294
-6.804765,0.0,1.41294
-6.788126,0.0,1.41294
-6.771488,0.0,1.41294
-6.754849,0.0,1.41294
-6.738211,0.0,1.41294
-6.721572,0.0,1.41294
-6.704934,0.0,1.41294
-6.688295,0.0,1.41294
-6.671656,0.0,1.41294
-6.655018,0.0,1.41294
-6.638379,0.0,1.41294
-6.621741,0.0,1.41294
-6.605102,0.0,1.41294
-6.588464,0.0,1.41294
-6.571825,0.0,1.41294
-6.555187,0.0,1.41294
-6.538548,0.0,1.41294
-6.521909,0.0,1.41294
-6.505271,0.0,1.41294
-6.488632,0.0,1.41294
-6.471994,0.0,1.41294
-6.455355,0.003868,1.412956
-6.438717,0.020531,1.413141
-6.422078,0.050348,1.413712
-6.40544,0.11509,1.414989
-6.388801,0.126442,1.417231
-6.372162,0.144493,1.41948
-6.355524,0.165901,1.422059
-6.338885,0.189028,1.42501
-6.322247,0.21392,1.428359
-6.305608,0.253829,1.432204
-6.28897,0.267968,1.436536
-6.272331,0.289211,1.441161
-6.255693,0.315303,1.446185
-6.239054,0.34721,1.451686
-6.222415,0.424935,1.457993
-6.205777,0.481318,1.465504
-6.189138,0.558113,1.474123
-6.1725,0.654879,1.484188
-6.155861,0.781847,1.496643
-6.139223,0.802458,1.509786
-6.122584,0.832809,1.523378
-6.105946,0.877306,1.537583
-6.089307,0.995935,1.552578
-6.072668,0.908553,1.568169
-6.05603,0.846508,1.582733
-6.039391,0.825942,1.596519
-6.022753,0.975561,1.611357
-6.006114,1.244481,1.629645
-5.989476,1.510541,1.65235
-5.972837,1.569623,1.679038
-5.956199,1.30164,1.702929
-5.93956,1.171263,1.723953
-5.922921,1.042329,1.742306
-5.906283,0.957491,1.758897
-5.889644,0.886326,1.774168
-5.873006,0.841339,1.788679
-5.856367,0.830335,1.802534
-5.839729,0.771044,1.815824
-5.82309,0.821008,1.828774
-5.806452,0.719425,1.841739
-5.789813,0.644689,1.853104
-5.773174,0.566552,1.863151
-5.756536,0.52717,1.872234
-5.739897,0.460299,1.880476
-5.723259,0.427537,1.887847
-5.70662,0.40131,1.894738
-5.689982,0.380106,1.901224
-5.673343,0.382099,1.907522
-5.656705,0.436065,1.914434
-5.640066,0.420068,1.921627
-5.623427,0.379557,1.928379
-5.606789,0.29288,1.933594
-5.59015,0.311164,1.938529
-5.573512,0.363467,1.944293
-5.556873,0.388575,1.950537
-5.540235,0.480851,1.957634
-5.523596,0.818315,1.968352
-5.506958,1.200628,1.985668
-5.490319,1.282198,2.006385
-5.47368,1.129185,2.027062
-5.457042,1.109517,2.045655
-5.440403,1.12801,2.064244
-5.423765,1.011422,2.0822
-5.407126,0.737769,2.097095
-5.390488,0.511414,2.107287
-5.373849,0.419368,2.114713
-5.357211,0.360669,2.121144
-5.340572,0.346299,2.126976
-5.323933,0.510326,2.133669
-5.307295,0.682878,2.143791
-5.290656,0.719664,2.155604
-5.274018,0.754747,2.167789
-5.257379,0.790298,2.181005
-5.240741,0.588509,2.192033
-5.224102,0.503108,2.201065
-5.207464,0.446289,2.208931
-5.190825,0.397127,2.215951
-5.174187,0.339346,2.222128
-5.157548,0.292879,2.227371
-5.140909,0.231791,2.231805
-5.124271,0.154803,2.234982
-5.107632,0.110522,2.237176
-5.090994,0.072116,2.238717
-5.074355,0.02249,2.239458
-5.057717,0.006933,2.239655
-5.041078,0.010004,2.239792
-5.02444,0.036291,2.240081
-5.007801,0.133917,2.241386
-4.991162,0.237179,2.244668
-4.974524,0.376176,2.249715
-4.957885,0.595696,2.257377
-4.941247,0.584906,2.26719
-4.924608,0.569362,2.276908
-4.90797,0.532854,2.286047
-4.891331,0.545199,2.295054
-4.874693,0.519465,2.303973
-4.858054,0.490123,2.312281
-4.841415,0.424046,2.31992
-4.824777,0.399515,2.32676
-4.808138,0.384948,2.333287
-4.7915,0.309249,2.3392
-4.774861,0.265207,2.343953
-4.758223,0.282166,2.348498
-4.741584,0.224625,2.352854
-4.724946,0.172036,2.356212
-4.708307,0.108063,2.35846
-4.691668,0.093891,2.359963
-4.67503,0.176809,2.362027
-4.658391,0.197894,2.365035
-4.641753,0.28232,2.36898
-4.625114,0.270095,2.373741
-4.608476,0.249032,2.378063
-4.591837,0.245773,2.382122
-4.575199,0.218417,2.386112
-4.55856,0.265893,2.389576
-4.541921,0.328349,2.394648
-4.525283,0.391178,2.4006
-4.508644,0.407788,2.407488
-4.492006,0.457611,2.414661
-4.475367,0.507313,2.422813
-4.458729,0.578765,2.431766
-4.44209,0.944001,2.444069
-4.425452,0.598774,2.457235
-4.408813,0.528898,2.466446
-4.392174,0.600934,2.475725
-4.375536,0.768984,2.487117
-4.358897,0.773386,2.500556
-4.342259,0.424885,2.510549
-4.32562,0.157087,2.514909
-4.308982,0.099102,2.516894
-4.292343,0.127105,2.51864
-4.275705,0.170929,2.521294
-4.259066,0.196623,2.524362
-4.242427,0.223853,2.52783
-4.225789,0.28606,2.531991
-4.20915,0.394473,2.537736
-4.192512,0.386704,2.544907
-4.175873,0.325508,2.550376
-4.159235,0.350096,2.556181
-4.142596,0.473904,2.562611
-4.125958,0.916916,2.576232
-4.109319,0.649652,2.593035
-4.09268,0.278116,2.599065
-4.076042,0.130504,2.602677
-4.059403,0.111864,2.604562
-4.042765,0.124114,2.606525
-4.026126,0.137047,2.608689
-4.009488,0.180966,2.611269
-3.992849,0.286995,2.615003
-3.976211,0.339428,2.620483
-3.959572,0.39747,2.62654
-3.942933,0.437043,2.633813
-3.926295,0.497241,2.641459
