Energy (eV),DOS,Intg. DOS
-10.298861,0.0,0.760145
-10.282223,0.0,0.760145
-10.265584,0.0,0.760145
-10.248946,0.0,0.760145
-10.232307,0.0,0.760145
-10.215669,0.0,0.760145
-10.19903,0.0,0.760145
-10.182391,0.0,0.760145
-10.165753,0.0,0.760145
-10.149114,0.0,0.760145
-10.132476,0.0,0.760145
-10.115837,0.0,0.760145
-10.099199,0.0,0.760145
-10.08256,0.0,0.760145
-10.065922,0.0,0.760145
-10.049283,0.0,0.760145
-10.032644,0.0,0.760145
-10.016006,0.0,0.760145
-9.999367,0.0,0.760145
-9.982729,0.0,0.760145
-9.96609,0.0,0.760145
-9.949452,0.0,0.760145
-9.932813,0.0,0.760145
-9.916175,0.0,0.760145
-9.899536,0.0,0.760145
-9.882897,0.0,0.760145
-9.866259,0.0,0.760145
-9.84962,0.0,0.760145
-9.832982,0.0,0.760145
-9.816343,0.0,0.760145
-9.799705,0.0,0.760145
-9.783066,0.0,0.760145
-9.766428,0.0,0.760145
-9.749789,0.0,0.760145
-9.733151,0.0,0.760145
-9.716512,0.0,0.760145
-9.699873,0.0,0.760145
-9.683235,0.0,0.760145
-9.666596,0.0,0.760145
-9.649958,0.0,0.760145
-9.633319,0.0,0.760145
-9.616681,0.0,0.760145
-9.600042,0.0,0.760145
-9.583404,0.0,0.760145
-9.566765,0.0,0.760145
-9.550126,0.0,0.760145
-9.533488,0.0,0.760145
-9.516849,0.0,0.760145
-9.500211,0.0,0.760145
-9.483572,0.0,0.760145
-9.466934,0.0,0.760145
-9.450295,0.0,0.760145
-9.433657,0.0,0.760145
-9.417018,0.0,0.760145
-9.400379,0.0,0.760145
-9.383741,0.0,0.760145
-9.367102,0.0,0.760145
-9.350464,0.0,0.760145
-9.333825,0.0,0.760145
-9.317187,0.0,0.760145
-9.300548,0.0,0.760145
-9.28391,0.0,0.760145
-9.267271,0.0,0.760145
-9.250632,0.0,0.760145
-9.233994,0.0,0.760145
-9.217355,0.0,0.760145
-9.200717,0.0,0.760145
-9.184078,0.0,0.760145
-9.16744,0.0,0.760145
-9.150801,0.0,0.760145
-9.134163,0.0,0.760145
-9.117524,0.0,0.760145
-9.100885,0.0,0.760145
-9.084247,0.0,0.760145
-9.067608,0.0,0.760145
-9.05097,0.0,0.760145
-9.034331,0.0,0.760145
-9.017693,0.0,0.760145
-9.001054,0.0,0.760145
-8.984416,0.0,0.760145
-8.967777,0.0,0.760145
-8.951138,0.0,0.760145
-8.9345,0.0,0.760145
-8.917861,0.0,0.760145
-8.901223,0.0,0.760145
-8.884584,0.0,0.760145
-8.867946,0.0,0.760145
-8.851307,0.0,0.760145
-8.834669,0.0,0.760145
-8.81803,0.0,0.760145
-8.801391,0.0,0.760145
-8.784753,0.0,0.760145
-8.768114,0.0,0.760145
-8.751476,0.0,0.760145
-8.734837,0.0,0.760145
-8.718199,0.0,0.760145
-8.70156,0.0,0.760145
-8.684922,0.0,0.760145
-8.668283,0.0,0.760145
-8.651644,0.0,0.760145
-8.635006,0.0,0.760145
-8.618367,0.0,0.760145
-8.601729,0.0,0.760145
-8.58509,0.0,0.760145
-8.568452,0.0,0.760145
-8.551813,0.0,0.760145
-8.535175,0.0,0.760145
-8.518536,0.0,0.760145
-8.501897,0.0,0.760145
-8.485259,0.0,0.760145
-8.46862,0.000297,0.760145
-8.451982,0.076433,0.760688
-8.435343,0.14294,0.762612
-8.418705,0.171592,0.765295
-8.402066,0.211941,0.768466
-8.385428,0.256684,0.772369
-8.368789,0.298353,0.776974
-8.35215,0.362969,0.782488
-8.335512,0.434711,0.789103
-8.318873,0.534758,0.797051
-8.302235,0.665066,0.807418
-8.285596,0.795771,0.819478
-8.268958,1.189447,0.834735
-8.252319,1.119211,0.855481
-8.235681,0.689615,0.869539
-8.219042,0.616879,0.880367
-8.202403,0.554006,0.890105
-8.185765,0.483206,0.898715
-8.169126,0.424691,0.906267
-8.152488,0.394672,0.912913
-8.135849,0.326096,0.919439
-8.119211,0.21569,0.923913
-8.102572,0.064692,0.92609
-8.085934,0.002523,0.926533
-8.069295,0.0,0.926537
-8.052656,0.0,0.926537
-8.036018,0.0,0.926537
-8.019379,0.0,0.926537
-8.002741,0.0,0.926537
-7.986102,0.0,0.926537
-7.969464,0.0,0.926537
-7.952825,0.0,0.926537
-7.936187,0.0,0.926537
-7.919548,0.0,0.926537
-7.902909,0.0,0.926537
-7.886271,0.0,0.926537
-7.869632,0.0,0.926537
-7.852994,0.0,0.926537
-7.836355,0.0,0.926537
-7.819717,0.0,0.926537
-7.803078,0.0,0.926537
-7.78644,0.0,0.926537
-7.769801,0.0,0.926537
-7.753162,0.0,0.926537
-7.736524,0.0,0.926537
-7.719885,0.0,0.926537
-7.703247,0.0,0.926537
-7.686608,0.0,0.926537
-7.66997,0.0,0.926537
-7.653331,0.0,0.926537
-7.636693,0.0,0.926537
-7.620054,0.0,0.926537
-7.603415,0.0,0.926537
-7.586777,0.0,0.926537
-7.570138,0.0,0.926537
-7.5535,0.0,0.926537
-7.536861,0.0,0.926537
-7.520223,0.0,0.926537
-7.503584,0.0,0.926537
-7.486946,0.0,0.926537
-7.470307,0.0,0.926537
-7.453669,0.0,0.926537
-7.43703,0.0,0.926537
-7.420391,0.0,0.926537
-7.403753,0.0,0.926537
-7.387114,0.0,0.926537
-7.370476,0.0,0.926537
-7.353837,0.0,0.926537
-7.337199,0.0,0.926537
-7.32056,0.0,0.926537
-7.303922,0.0,0.926537
-7.287283,0.0,0.926537
-7.270644,0.0,0.926537
-7.254006,0.0,0.926537
-7.237367,0.0,0.926537
-7.220729,0.0,0.926537
-7.20409,0.0,0.926537
-7.187452,0.0,0.926537
-7.170813,0.0,0.926537
-7.154175,0.0,0.926537
-7.137536,0.0,0.926537
-7.120897,0.0,0.926537
-7.104259,0.0,0.926537
-7.08762,0.0,0.926537
-7.070982,0.0,0.926537
-7.054343,0.0,0.926537
-7.037705,0.0,0.926537
-7.021066,0.0,0.926537
-7.004428,0.0,0.926537
-6.987789,0.0,0.926537
-6.97115,0.0,0.926537
-6.954512,0.0,0.926537
-6.937873,0.0,0.926537
-6.921235,0.0,0.926537
-6.904596,0.0,0.926537
-6.887958,0.0,0.926537
-6.871319,0.0,0.926537
-6.854681,0.0,0.926537
-6.838042,0.0,0.926537
-6.821403,0.0,0.926537
-6.804765,0.0,0.926537
-6.788126,0.0,0.926537
-6.771488,0.0,0.926537
-6.754849,0.0,0.926537
-6.738211,0.0,0.926537
-6.721572,0.0,0.926537
-6.704934,0.0,0.926537
-6.688295,0.0,0.926537
-6.671656,0.0,0.926537
-6.655018,0.0,0.926537
-6.638379,0.0,0.926537
-6.621741,0.0,0.926537
-6.605102,0.0,0.926537
-6.588464,0.0,0.926537
-6.571825,0.0,0.926537
-6.555187,0.0,0.926537
-6.538548,0.0,0.926537
-6.521909,0.0,0.926537
-6.505271,0.0,0.926537
-6.488632,0.0,0.926537
-6.471994,0.0,0.926537
-6.455355,0.002395,0.926547
-6.438717,0.012713,0.926661
-6.422078,0.031175,0.927015
-6.40544,0.071178,0.927805
-6.388801,0.077625,0.929188
-6.372162,0.088158,0.930564
-6.355524,0.100733,0.932134
-6.338885,0.114344,0.933922
-6.322247,0.129012,0.935945
-6.305608,0.152257,0.938258
-6.28897,0.159714,0.940848
-6.272331,0.171537,0.943598
-6.255693,0.186276,0.946571
-6.239054,0.204461,0.949816
-6.222415,0.248987,0.95352
-6.205777,0.281879,0.95792
-6.189138,0.326401,0.962965
-6.1725,0.382419,0.968846
-6.155861,0.460267,0.976135
-6.139223,0.47536,0.983896
-6.122584,0.496852,0.991977
-6.105946,0.52696,1.000481
-6.089307,0.628768,1.009665
-6.072668,0.553001,1.019277
-6.05603,0.505589,1.02806
-6.039391,0.484843,1.036218
-6.022753,0.57442,1.04493
-6.006114,0.742628,1.055769
-5.989476,0.913706,1.069407
-5.972837,0.95615,1.085657
-5.956199,0.787417,1.100165
-5.93956,0.703711,1.112842
-5.922921,0.618853,1.123806
-5.906283,0.560414,1.13359
-5.889644,0.510992,1.142456
-5.873006,0.481119,1.150798
-5.856367,0.475681,1.158715
-5.839729,0.449967,1.166391
-5.82309,0.474476,1.17396
-5.806452,0.476794,1.182331
-5.789813,0.430989,1.189875
-5.773174,0.375,1.196555
-5.756536,0.342518,1.202515
-5.739897,0.30208,1.207885
-5.723259,0.278092,1.212698
-5.70662,0.259343,1.217167
-5.689982,0.245168,1.221345
-5.673343,0.259732,1.22549
-5.656705,0.316906,1.230436
-5.640066,0.299255,1.235631
-5.623427,0.254033,1.240291
-5.606789,0.19602,1.243788
-5.59015,0.207743,1.247095
-5.573512,0.24157,1.250899
-5.556873,0.268348,1.255128
-5.540235,0.36428,1.260221
-5.523596,0.715737,1.269005
-5.506958,1.167854,1.285247
-5.490319,1.29224,1.305843
-5.47368,1.127001,1.326775
-5.457042,1.129558,1.345499
-5.440403,1.162945,1.364568
-5.423765,1.041458,1.383046
-5.407126,0.735842,1.398259
-5.390488,0.475244,1.408105
-5.373849,0.365752,1.414682
-5.357211,0.317533,1.420315
-5.340572,0.307186,1.425472
-5.323933,0.488498,1.431677
-5.307295,0.643885,1.441339
-5.290656,0.653682,1.452273
-5.274018,0.660221,1.463127
-5.257379,0.643315,1.474372
-5.240741,0.459674,1.483183
-5.224102,0.379614,1.49011
-5.207464,0.329777,1.495979
-5.190825,0.290707,1.50114
-5.174187,0.246231,1.505648
-5.157548,0.216149,1.509482
-5.140909,0.176513,1.512803
-5.124271,0.127803,1.515312
-5.107632,0.096217,1.517169
-5.090994,0.068174,1.518556
-5.074355,0.024741,1.519285
-5.057717,0.01419,1.519562
-5.041078,0.021967,1.519858
-5.02444,0.051744,1.520383
-5.007801,0.171587,1.52207
-4.991162,0.244799,1.525808
-4.974524,0.376781,1.530895
-4.957885,0.66039,1.53889
-4.941247,0.69263,1.55015
-4.924608,0.719566,1.561913
-4.90797,0.76185,1.574196
-4.891331,0.866751,1.587746
-4.874693,0.940532,1.602787
-4.858054,1.021655,1.619084
-4.841415,0.941063,1.635513
-4.824777,0.961108,1.651436
-4.808138,1.013434,1.667873
-4.7915,0.718863,1.682973
-4.774861,0.652243,1.69419
-4.758223,0.803712,1.706236
-4.741584,0.514938,1.718233
-4.724946,0.325773,1.725155
-4.708307,0.189408,1.72933
-4.691668,0.213878,1.732297
-4.67503,0.464785,1.737526
-4.658391,0.545101,1.745644
-4.641753,0.823506,1.756792
-4.625114,0.718873,1.770473
-4.608476,0.589606,1.781304
-4.591837,0.520033,1.790371
-4.575199,0.423546,1.798381
-4.55856,0.612813,1.804657
-4.541921,0.901184,1.817858
-4.525283,1.046083,1.834044
-4.508644,0.938715,1.85088
-4.492006,0.942512,1.866549
-4.475367,0.884472,1.882024
-4.458729,0.870731,1.89652
-4.44209,1.276694,1.91392
-4.425452,0.982019,1.932566
-4.408813,1.169216,1.950303
-4.392174,1.216602,1.96978
-4.375536,1.583092,1.992842
-4.358897,1.822412,2.022043
-4.342259,1.253675,2.049489
-4.32562,0.524941,2.062992
-4.308982,0.309616,2.069641
-4.292343,0.33389,2.074622
-4.275705,0.435729,2.081359
-4.259066,0.485557,2.089062
-4.242427,0.531705,2.097463
-4.225789,0.640544,2.107078
-4.20915,0.858675,2.11974
-4.192512,0.831541,2.135037
-4.175873,0.686105,2.14689
-4.159235,0.573609,2.158005
-4.142596,0.623286,2.167588
-4.125958,1.014688,2.183252
-4.109319,0.768951,2.201845
-4.09268,0.379374,2.209993
-4.076042,0.206966,2.215035
-4.059403,0.189597,2.2182
-4.042765,0.203763,2.221473
-4.026126,0.218746,2.224974
-4.009488,0.267231,2.228951
-3.992849,0.368307,2.234113
-3.976211,0.41663,2.240865
-3.959572,0.439249,2.247933
-3.942933,0.461075,2.25564
-3.926295,0.510743,2.26361
-3.909656,0.415683,2.271516
-3.893018,0.328365,2.277668
-3.876379,0.286216,2.282709
-3.859741,0.281985,2.287403
-3.843102,0.317476,2.292224
-3.826464,0.556778,2.299076
-3.809825,0.494941,2.30755
-3.793186,0.488732,2.315734
-3.776548,0.446817,2.323671
-3.759909,0.446371,2.330909
-3.743271,0.447653,2.338587
-3.726632,0.410163,2.345682
-3.709994,0.383889,2.35228
-3.693355,0.365193,2.358517
-3.676717,0.345596,2.364585
-3.660078,0.31079,2.370163
-3.643439,0.298023,2.375216
-3.626801,0.29412,2.380129
-3.610162,0.298186,2.385047
-3.593524,0.318113,2.390143
-3.576885,0.339278,2.395654
-3.560247,0.345519,2.401353
-3.543608,0.354657,2.407152
-3.52697,0.405633,2.413469
-3.510331,0.438404,2.420486
-3.493692,0.466848,2.428026
-3.477054,0.48797,2.435984
-3.460415,0.490207,2.444136
-3.443777,0.49768,2.452329
-3.427138,0.509264,2.460709
-3.4105,0.518728,2.469262
-3.393861,0.528997,2.47798
-3.377223,0.537756,2.486857
-3.360584,0.551271,2.495869
-3.343945,0.560697,2.505275
-3.327307,0.541418,2.514528
-3.310668,0.530343,2.523392
-3.29403,0.494689,2.531801
-3.277391,0.479309,2.539895
-3.260753,0.481405,2.547949
-3.244114,0.474785,2.5559
-3.227476,0.466153,2.563731
-3.210837,0.456163,2.571406
-3.194198,0.445134,2.578905
-3.17756,0.433066,2.586213
-3.160921,0.423244,2.593326
-3.144283,0.417198,2.600335
-3.127644,0.404504,2.607165
-3.111006,0.396707,2.61382
-3.094367,0.399597,2.620439
-3.077729,0.417849,2.627348
-3.06109,0.414022,2.634248
-3.044451,0.421197,2.641197
-3.027813,0.428216,2.648264
-3.011174,0.443421,2.655467
-2.994536,0.471308,2.663456
-2.977897,0.560881,2.672088
-2.961259,0.604438,2.681793
-2.94462,0.532495,2.691205
-2.927982,0.520615,2.700446
-2.911343,0.516648,2.70905
-2.894705,0.528239,2.717714
-2.878066,0.56361,2.726765
-2.861427,0.625307,2.736715
-2.844789,0.642354,2.747292
-2.82815,0.679363,2.75827
-2.811512,0.72874,2.769966
-2.794873,0.811932,2.782831
-2.778235,0.886295,2.796945
-2.761596,0.972554,2.812398
-2.744958,1.083041,2.829383
-2.728319,1.224093,2.848536
-2.71168,1.300765,2.869528
-2.695042,1.375536,2.891574
-2.678403,1.57659,2.916175
