Energy (eV),DOS,Intg. DOS
-10.298861,0.0,8.0
-10.282223,0.0,8.0
-10.265584,0.0,8.0
-10.248946,0.0,8.0
-10.232307,0.0,8.0
-10.215669,0.0,8.0
-10.19903,0.0,8.0
-10.182391,0.0,8.0
-10.165753,0.0,8.0
-10.149114,0.0,8.0
-10.132476,0.0,8.0
-10.115837,0.0,8.0
-10.099199,0.0,8.0
-10.08256,0.0,8.0
-10.065922,0.0,8.0
-10.049283,0.0,8.0
-10.032644,0.0,8.0
-10.016006,0.0,8.0
-9.999367,0.0,8.0
-9.982729,0.0,8.0
-9.96609,0.0,8.0
-9.949452,0.0,8.0
-9.932813,0.0,8.0
-9.916175,0.0,8.0
-9.899536,0.0,8.0
-9.882897,0.0,8.0
-9.866259,0.0,8.0
-9.84962,0.0,8.0
-9.832982,0.0,8.0
-9.816343,0.0,8.0
-9.799705,0.0,8.0
-9.783066,0.0,8.0
-9.766428,0.0,8.0
-9.749789,0.0,8.0
-9.733151,0.0,8.0
-9.716512,0.0,8.0
-9.699873,0.0,8.0
-9.683235,0.0,8.0
-9.666596,0.0,8.0
-9.649958,0.0,8.0
-9.633319,0.0,8.0
-9.616681,0.0,8.0
-9.600042,0.0,8.0
-9.583404,0.0,8.0
-9.566765,0.0,8.0
-9.550126,0.0,8.0
-9.533488,0.0,8.0
-9.516849,0.0,8.0
-9.500211,0.0,8.0
-9.483572,0.0,8.0
-9.466934,0.0,8.0
-9.450295,0.0,8.0
-9.433657,0.0,8.0
-9.417018,0.0,8.0
-9.400379,0.0,8.0
-9.383741,0.0,8.0
-9.367102,0.0,8.0
-9.350464,0.0,8.0
-9.333825,0.0,8.0
-9.317187,0.0,8.0
-9.300548,0.0,8.0
-9.28391,0.0,8.0
-9.267271,0.0,8.0
-9.250632,0.0,8.0
-9.233994,0.0,8.0
-9.217355,0.0,8.0
-9.200717,0.0,8.0
-9.184078,0.0,8.0
-9.16744,0.0,8.0
-9.150801,0.0,8.0
-9.134163,0.0,8.0
-9.117524,0.0,8.0
-9.100885,0.0,8.0
-9.084247,0.0,8.0
-9.067608,0.0,8.0
-9.05097,0.0,8.0
-9.034331,0.0,8.0
-9.017693,0.0,8.0
-9.001054,0.0,8.0
-8.984416,0.0,8.0
-8.967777,0.0,8.0
