k,Energy (eV)
0.0,-14.406502
0.02614,-14.406502
0.05228,-14.406502
0.07842,-14.407861
0.10455,-14.407861
0.13069,-14.409222
0.15683,-14.411943
0.18297,-14.414665
0.20911,-14.420107
0.23525,-14.426908
0.26138,-14.435074
0.28752,-14.444598
0.31366,-14.458202
0.3398,-14.473169
0.36594,-14.492218
0.39207,-14.512627
0.41821,-14.534394
0.44435,-14.560246
0.47049,-14.586097
0.49663,-14.613309
0.52277,-14.64188
0.5489,-14.670454
0.57504,-14.699026
0.60118,-14.726237
0.62732,-14.752088
0.65346,-14.77794
0.67959,-14.801069
0.70573,-14.822839
0.73187,-14.840526
0.75801,-14.856853
0.78415,-14.870459
0.81029,-14.881344
0.83642,-14.889506
0.86256,-14.893589
0.8887,-14.89495
,
,
0.0,-13.01871
0.02614,-13.017349
0.05228,-13.017349
0.07842,-13.014627
0.10455,-13.011906
0.13069,-13.007825
0.15683,-13.009186
0.18297,-13.015988
0.20911,-13.022791
0.23525,-13.028234
0.26138,-13.032315
0.28752,-13.033676
0.31366,-13.033676
0.3398,-13.030954
0.36594,-13.026874
0.39207,-13.01871
0.41821,-13.007825
0.44435,-12.99558
0.47049,-12.980613
0.49663,-12.962925
0.52277,-12.945238
0.5489,-12.92619
0.57504,-12.911224
0.60118,-12.908503
0.62732,-12.90442
0.65346,-12.9017
0.67959,-12.898978
0.70573,-12.896257
0.73187,-12.894897
0.75801,-12.893536
0.78415,-12.892175
0.81029,-12.890816
0.83642,-12.890816
0.86256,-12.889455
0.8887,-12.889455
,
,
0.0,-13.01871
0.02614,-13.017349
0.05228,-13.017349
0.07842,-13.014627
0.10455,-13.011906
0.13069,-13.007825
0.15683,-13.003743
0.18297,-12.99966
0.20911,-12.994219
0.23525,-12.988777
0.26138,-12.981974
0.28752,-12.976532
0.31366,-12.969729
0.3398,-12.962925
0.36594,-12.956122
0.39207,-12.949321
0.41821,-12.943877
0.44435,-12.937075
0.47049,-12.931631
0.49663,-12.92619
0.52277,-12.920749
0.5489,-12.916666
0.57504,-12.911224
0.60118,-12.908503
0.62732,-12.90442
0.65346,-12.9017
0.67959,-12.898978
0.70573,-12.896257
0.73187,-12.894897
0.75801,-12.893536
0.78415,-12.892175
0.81029,-12.890816
0.83642,-12.890816
0.86256,-12.889455
0.8887,-12.889455
,
,
0.0,-12.984694
0.02614,-12.984694
0.05228,-12.987416
0.07842,-12.991497
0.10455,-12.996941
0.13069,-13.002382
0.15683,-13.003743
0.18297,-12.99966
0.20911,-12.994219
0.23525,-12.988777
0.26138,-12.981974
0.28752,-12.976532
0.31366,-12.969729
0.3398,-12.962925
0.36594,-12.956122
0.39207,-12.949321
0.41821,-12.943877
0.44435,-12.937075
0.47049,-12.931631
0.49663,-12.92619
0.52277,-12.920749
0.5489,-12.916666
0.57504,-12.907142
0.60118,-12.888094
0.62732,-12.869046
0.65346,-12.851358
0.67959,-12.835031
0.70573,-12.818704
0.73187,-12.805098
0.75801,-12.794214
0.78415,-12.78333
0.81029,-12.776525
0.83642,-12.769723
0.86256,-12.767001
0.8887,-12.765641
,
,
0.0,-8.320626
0.02614,-8.320626
0.05228,-8.321987
0.07842,-8.324709
0.10455,-8.328791
0.13069,-8.332872
0.15683,-8.338314
0.18297,-8.345117
0.20911,-8.350559
0.23525,-8.358724
0.26138,-8.365525
0.28752,-8.37369
0.31366,-8.381853
0.3398,-8.390017
0.36594,-8.39818
0.39207,-8.406343
0.41821,-8.414507
0.44435,-8.421309
0.47049,-8.428112
0.49663,-8.434916
