Energy (eV),DOS,Intg. DOS
-12.883321,0.0,0.0
-12.866682,0.0,0.0
-12.850043,0.0,0.0
-12.833405,0.0,0.0
-12.816766,0.0,0.0
-12.800128,0.0,0.0
-12.783489,0.0,0.0
-12.766851,0.0,0.0
-12.750212,0.0,0.0
-12.733574,0.0,0.0
-12.716935,0.0,0.0
-12.700296,0.0,0.0
-12.683658,0.0,0.0
-12.667019,0.0,0.0
-12.650381,0.0,0.0
-12.633742,0.0,0.0
-12.617104,0.0,0.0
-12.600465,0.0,0.0
-12.583827,0.0,0.0
-12.567188,0.0,0.0
-12.550549,0.0,0.0
-12.533911,0.0,0.0
-12.517272,0.0,0.0
-12.500634,0.0,0.0
-12.483995,0.0,0.0
-12.467357,0.0,0.0
-12.450718,0.0,0.0
-12.43408,0.0,0.0
-12.417441,0.0,0.0
-12.400802,0.0,0.0
-12.384164,0.0,0.0
-12.367525,0.0,0.0
-12.350887,0.0,0.0
-12.334248,0.0,0.0
-12.31761,0.0,0.0
-12.300971,0.0,0.0
-12.284333,0.0,0.0
-12.267694,0.0,0.0
-12.251055,0.0,0.0
-12.234417,0.0,0.0
-12.217778,0.0,0.0
-12.20114,0.0,0.0
-12.184501,0.0,0.0
-12.167863,0.0,0.0
-12.151224,0.0,0.0
-12.134586,0.0,0.0
-12.117947,0.0,0.0
-12.101308,0.0,0.0
-12.08467,0.0,0.0
-12.068031,0.0,0.0
-12.051393,0.0,0.0
-12.034754,0.0,0.0
-12.018116,0.0,0.0
-12.001477,0.0,0.0
-11.984839,0.0,0.0
-11.9682,0.0,0.0
-11.951561,0.0,0.0
-11.934923,0.0,0.0
-11.918284,0.0,0.0
-11.901646,0.0,0.0
-11.885007,0.0,0.0
-11.868369,0.0,0.0
-11.85173,0.0,0.0
-11.835092,0.0,0.0
-11.818453,0.0,0.0
-11.801814,0.0,0.0
-11.785176,0.0,0.0
-11.768537,0.0,0.0
-11.751899,0.0,0.0
-11.73526,0.0,0.0
-11.718622,0.0,0.0
-11.701983,0.0,0.0
-11.685345,0.0,0.0
-11.668706,0.0,0.0
-11.652067,0.0,0.0
-11.635429,0.0,0.0
-11.61879,0.0,0.0
-11.602152,0.0,0.0
-11.585513,0.0,0.0
-11.568875,0.0,0.0
-11.552236,0.0,0.0
-11.535598,0.0,0.0
-11.518959,0.0,0.0
-11.50232,0.0,0.0
-11.485682,0.0,0.0
-11.469043,0.0,0.0
-11.452405,0.0,0.0
-11.435766,0.0,0.0
-11.419128,0.0,0.0
-11.402489,0.0,0.0
-11.385851,0.0,0.0
-11.369212,0.0,0.0
-11.352573,0.0,0.0
-11.335935,0.0,0.0
-11.319296,0.0,0.0
-11.302658,0.0,0.0
-11.286019,0.0,0.0
-11.269381,0.0,0.0
-11.252742,0.0,0.0
-11.236104,0.0,0.0
-11.219465,0.0,0.0
-11.202826,0.0,0.0
-11.186188,0.0,0.0
-11.169549,0.0,0.0
-11.152911,0.0,0.0
-11.136272,0.0,0.0
-11.119634,0.0,0.0
-11.102995,0.0,0.0
-11.086357,0.0,0.0
-11.069718,0.0,0.0
-11.053079,0.0,0.0
-11.036441,0.0,0.0
-11.019802,0.0,0.0
-11.003164,0.0,0.0
-10.986525,0.0,0.0
-10.969887,0.0,0.0
-10.953248,0.0,0.0
-10.93661,0.0,0.0
-10.919971,0.0,0.0
-10.903332,0.0,0.0
-10.886694,0.0,0.0
-10.870055,0.0,0.0
-10.853417,0.0,0.0
-10.836778,0.0,0.0
-10.82014,0.0,0.0
-10.803501,0.0,0.0
-10.786863,0.0,0.0
-10.770224,0.0,0.0
-10.753585,0.0,0.0
-10.736947,0.0,0.0
-10.720308,0.02364,0.000125
-10.70367,0.098685,0.001073
-10.687031,0.205796,0.003579
-10.670393,0.242361,0.007414
-10.653754,0.24479,0.011471
-10.637116,0.284021,0.015868
-10.620477,0.324952,0.020932
-10.603839,0.365745,0.026683
-10.5872,0.401826,0.033076
-10.570561,0.428792,0.040006
-10.553923,0.453084,0.047341
-10.537284,0.474392,0.05506
-10.520646,0.497155,0.063137
-10.504007,0.524246,0.071629
-10.487369,0.552435,0.080586
-10.47073,0.58143,0.090015
-10.454092,0.61664,0.099971
-10.437453,0.659754,0.110579
-10.420814,0.703213,0.121926
-10.404176,0.746202,0.133983
-10.387537,0.785464,0.146736
-10.370899,0.821658,0.160113
-10.35426,0.843367,0.173996
-10.337622,0.843345,0.188053
-10.320983,0.85129,0.202123
-10.304345,0.861968,0.216379
-10.287706,0.871009,0.230798
-10.271067,0.878543,0.245355
-10.254429,0.884498,0.260025
-10.23779,0.890361,0.274787
