Energy (eV),DOS,Intg. DOS
-12.883321,0.0,0.0
-12.866682,0.0,0.0
-12.850043,0.0,0.0
-12.833405,0.0,0.0
-12.816766,0.0,0.0
-12.800128,0.0,0.0
-12.783489,0.0,0.0
-12.766851,0.0,0.0
-12.750212,0.0,0.0
-12.733574,0.0,0.0
-12.716935,0.0,0.0
-12.700296,0.0,0.0
-12.683658,0.0,0.0
-12.667019,0.0,0.0
-12.650381,0.0,0.0
-12.633742,0.0,0.0
-12.617104,0.0,0.0
-12.600465,0.0,0.0
-12.583827,0.0,0.0
-12.567188,0.0,0.0
-12.550549,0.0,0.0
-12.533911,0.0,0.0
-12.517272,0.0,0.0
-12.500634,0.0,0.0
-12.483995,0.0,0.0
-12.467357,0.0,0.0
-12.450718,0.0,0.0
-12.43408,0.0,0.0
-12.417441,0.0,0.0
-12.400802,0.0,0.0
-12.384164,0.0,0.0
-12.367525,0.0,0.0
-12.350887,0.0,0.0
-12.334248,0.0,0.0
-12.31761,0.0,0.0
-12.300971,0.0,0.0
-12.284333,0.0,0.0
-12.267694,0.0,0.0
-12.251055,0.0,0.0
-12.234417,0.0,0.0
-12.217778,0.0,0.0
-12.20114,0.0,0.0
-12.184501,0.0,0.0
-12.167863,0.0,0.0
-12.151224,0.0,0.0
-12.134586,0.0,0.0
-12.117947,0.0,0.0
-12.101308,0.0,0.0
-12.08467,0.0,0.0
-12.068031,0.0,0.0
-12.051393,0.0,0.0
-12.034754,0.0,0.0
-12.018116,0.0,0.0
-12.001477,0.0,0.0
-11.984839,0.0,0.0
-11.9682,0.0,0.0
-11.951561,0.0,0.0
-11.934923,0.0,0.0
-11.918284,0.0,0.0
-11.901646,0.0,0.0
-11.885007,0.0,0.0
-11.868369,0.0,0.0
-11.85173,0.0,0.0
-11.835092,0.0,0.0
-11.818453,0.0,0.0
-11.801814,0.0,0.0
-11.785176,0.0,0.0
-11.768537,0.0,0.0
-11.751899,0.0,0.0
-11.73526,0.0,0.0
-11.718622,0.0,0.0
-11.701983,0.0,0.0
-11.685345,0.0,0.0
-11.668706,0.0,0.0
-11.652067,0.0,0.0
-11.635429,0.0,0.0
-11.61879,0.0,0.0
-11.602152,0.0,0.0
-11.585513,0.0,0.0
-11.568875,0.0,0.0
-11.552236,0.0,0.0
-11.535598,0.0,0.0
-11.518959,0.0,0.0
-11.50232,0.0,0.0
-11.485682,0.0,0.0
-11.469043,0.0,0.0
-11.452405,0.0,0.0
-11.435766,0.0,0.0
-11.419128,0.0,0.0
-11.402489,0.0,0.0
-11.385851,0.0,0.0
-11.369212,0.0,0.0
-11.352573,0.0,0.0
-11.335935,0.0,0.0
-11.319296,0.0,0.0
-11.302658,0.0,0.0
-11.286019,0.0,0.0
-11.269381,0.0,0.0
-11.252742,0.0,0.0
-11.236104,0.0,0.0
-11.219465,0.0,0.0
-11.202826,0.0,0.0
-11.186188,0.0,0.0
-11.169549,0.0,0.0
-11.152911,0.0,0.0
-11.136272,0.0,0.0
-11.119634,0.0,0.0
-11.102995,0.0,0.0
-11.086357,0.0,0.0
-11.069718,0.0,0.0
-11.053079,0.0,0.0
-11.036441,0.0,0.0
-11.019802,0.0,0.0
-11.003164,0.0,0.0
-10.986525,0.0,0.0
-10.969887,0.0,0.0
-10.953248,0.0,0.0
-10.93661,0.0,0.0
-10.919971,0.0,0.0
-10.903332,0.0,0.0
-10.886694,0.0,0.0
-10.870055,0.0,0.0
-10.853417,0.0,0.0
-10.836778,0.0,0.0
-10.82014,0.0,0.0
-10.803501,0.0,0.0
-10.786863,0.0,0.0
-10.770224,0.0,0.0
-10.753585,0.0,0.0
-10.736947,0.0,0.0
-10.720308,0.033373,0.000177
-10.70367,0.139313,0.001515
-10.687031,0.290334,0.005051
-10.670393,0.341482,0.010458
-10.653754,0.344362,0.01617
-10.637116,0.399144,0.022353
-10.620477,0.45627,0.029466
-10.603839,0.513138,0.037538
-10.5872,0.563277,0.046503
-10.570561,0.60042,0.056213
-10.553923,0.633378,0.066475
-10.537284,0.662088,0.077257
-10.520646,0.692832,0.08852
-10.504007,0.729696,0.100348
-10.487369,0.768071,0.112808
-10.47073,0.807489,0.12591
-10.454092,0.855229,0.139728
-10.437453,0.913553,0.154429
-10.420814,0.972278,0.170129
-10.404176,1.030337,0.186787
-10.387537,1.082734,0.204382
-10.370899,1.13055,0.222804
-10.35426,1.158764,0.241893
-10.337622,1.156997,0.261194
-10.320983,1.165806,0.280478
-10.304345,1.178401,0.299984
-10.287706,1.188844,0.319681
-10.271067,1.197401,0.339535
-10.254429,1.203806,0.359515
-10.23779,1.21008,0.379591
