Energy (eV),DOS,Intg. DOS
-12.883321,0.0,0.0
-12.866682,0.0,0.0
-12.850043,0.0,0.0
-12.833405,0.0,0.0
-12.816766,0.0,0.0
-12.800128,0.0,0.0
-12.783489,0.0,0.0
-12.766851,0.0,0.0
-12.750212,0.0,0.0
-12.733574,0.0,0.0
-12.716935,0.0,0.0
-12.700296,0.0,0.0
-12.683658,0.0,0.0
-12.667019,0.0,0.0
-12.650381,0.0,0.0
-12.633742,0.0,0.0
-12.617104,0.0,0.0
-12.600465,0.0,0.0
-12.583827,0.0,0.0
-12.567188,0.0,0.0
-12.550549,0.0,0.0
-12.533911,0.0,0.0
-12.517272,0.0,0.0
-12.500634,0.0,0.0
-12.483995,0.0,0.0
-12.467357,0.0,0.0
-12.450718,0.0,0.0
-12.43408,0.0,0.0
-12.417441,0.0,0.0
-12.400802,0.0,0.0
-12.384164,0.0,0.0
-12.367525,0.0,0.0
-12.350887,0.0,0.0
-12.334248,0.0,0.0
-12.31761,0.0,0.0
-12.300971,0.0,0.0
-12.284333,0.0,0.0
-12.267694,0.0,0.0
-12.251055,0.0,0.0
-12.234417,0.0,0.0
-12.217778,0.0,0.0
-12.20114,0.0,0.0
-12.184501,0.0,0.0
-12.167863,0.0,0.0
-12.151224,0.0,0.0
-12.134586,0.0,0.0
-12.117947,0.0,0.0
-12.101308,0.0,0.0
-12.08467,0.0,0.0
-12.068031,0.0,0.0
-12.051393,0.0,0.0
-12.034754,0.0,0.0
-12.018116,0.0,0.0
-12.001477,0.0,0.0
-11.984839,0.0,0.0
-11.9682,0.0,0.0
-11.951561,0.0,0.0
-11.934923,0.0,0.0
-11.918284,0.0,0.0
-11.901646,0.0,0.0
-11.885007,0.0,0.0
-11.868369,0.0,0.0
-11.85173,0.0,0.0
-11.835092,0.0,0.0
-11.818453,0.0,0.0
-11.801814,0.0,0.0
-11.785176,0.0,0.0
-11.768537,0.0,0.0
-11.751899,0.0,0.0
-11.73526,0.0,0.0
-11.718622,0.0,0.0
-11.701983,0.0,0.0
-11.685345,0.0,0.0
-11.668706,0.0,0.0
-11.652067,0.0,0.0
-11.635429,0.0,0.0
-11.61879,0.0,0.0
-11.602152,0.0,0.0
-11.585513,0.0,0.0
-11.568875,0.0,0.0
-11.552236,0.0,0.0
-11.535598,0.0,0.0
-11.518959,0.0,0.0
-11.50232,0.0,0.0
-11.485682,0.0,0.0
-11.469043,0.0,0.0
-11.452405,0.0,0.0
-11.435766,0.0,0.0
-11.419128,0.0,0.0
-11.402489,0.0,0.0
-11.385851,0.0,0.0
-11.369212,0.0,0.0
-11.352573,0.0,0.0
-11.335935,0.0,0.0
-11.319296,0.0,0.0
-11.302658,0.0,0.0
-11.286019,0.0,0.0
-11.269381,0.0,0.0
-11.252742,0.0,0.0
-11.236104,0.0,0.0
-11.219465,0.0,0.0
-11.202826,0.0,0.0
-11.186188,0.0,0.0
-11.169549,0.0,0.0
-11.152911,0.0,0.0
-11.136272,0.0,0.0
-11.119634,0.0,0.0
-11.102995,0.0,0.0
-11.086357,0.0,0.0
-11.069718,0.0,0.0
-11.053079,0.0,0.0
-11.036441,0.0,0.0
-11.019802,0.0,0.0
-11.003164,0.0,0.0
-10.986525,0.0,0.0
-10.969887,0.0,0.0
-10.953248,0.0,0.0
-10.93661,0.0,0.0
-10.919971,0.0,0.0
-10.903332,0.0,0.0
-10.886694,0.0,0.0
-10.870055,0.0,0.0
-10.853417,0.0,0.0
-10.836778,0.0,0.0
-10.82014,0.0,0.0
-10.803501,0.0,0.0
-10.786863,0.0,0.0
-10.770224,0.0,0.0
-10.753585,0.0,0.0
-10.736947,0.0,0.0
-10.720308,0.008009,4.2e-05
-10.70367,0.033432,0.000364
-10.687031,0.069558,0.001211
-10.670393,0.081525,0.002505
-10.653754,0.081859,0.003866
-10.637116,0.094634,0.005333
-10.620477,0.107936,0.007018
-10.603839,0.121141,0.008925
-10.5872,0.132697,0.011039
-10.570561,0.141065,0.013324
-10.553923,0.148199,0.01573
-10.537284,0.154292,0.018248
-10.520646,0.160869,0.020867
-10.504007,0.168929,0.02361
-10.487369,0.177335,0.02649
-10.47073,0.185953,0.029511
-10.454092,0.196402,0.032689
-10.437453,0.209173,0.03606
-10.420814,0.222011,0.03965
-10.404176,0.234689,0.043449
-10.387537,0.245798,0.04745
-10.370899,0.255671,0.051624
-10.35426,0.261138,0.055934
-10.337622,0.2596,0.060274
-10.320983,0.260363,0.064591
-10.304345,0.261984,0.068937
-10.287706,0.263138,0.073306
-10.271067,0.263937,0.077692
-10.254429,0.264235,0.082087
-10.23779,0.264497,0.086484
