k,Energy (eV)
0.0,-10.736337
0.02299,-10.733615
0.04598,-10.724091
0.06897,-10.710485
0.09195,-10.690076
0.11494,-10.664226
0.13793,-10.632933
0.16092,-10.596197
0.18391,-10.554018
0.2069,-10.509119
0.22989,-10.457417
0.25287,-10.402994
0.27586,-10.34585
0.29885,-10.283263
0.32184,-10.219316
0.34483,-10.151287
0.36782,-10.081898
0.3908,-10.011147
0.41379,-9.939036
0.43678,-9.866926
0.45977,-9.796175
0.48276,-9.725426
0.50575,-9.657396
0.52874,-9.592089
0.55172,-9.530863
0.57471,-9.475079
0.5977,-9.423377
0.62069,-9.377117
0.64368,-9.336299
0.66667,-9.302285
,
,
0.0,-9.436983
0.02299,-9.435622
0.04598,-9.43018
0.06897,-9.422016
0.09195,-9.411132
0.11494,-9.396165
0.13793,-9.379838
0.16092,-9.360789
0.18391,-9.340382
0.2069,-9.318612
0.22989,-9.295483
0.25287,-9.270992
0.27586,-9.247862
0.29885,-9.224731
0.32184,-9.204323
0.34483,-9.185275
0.36782,-9.167587
0.3908,-9.153982
0.41379,-9.143097
0.43678,-9.137655
0.45977,-9.134934
0.48276,-9.137655
0.50575,-9.144458
0.52874,-9.156703
0.55172,-9.17303
0.57471,-9.193439
0.5977,-9.216569
0.62069,-9.24242
0.64368,-9.270992
0.66667,-9.302285
,
,
0.0,-5.261363
0.02299,-5.257281
0.04598,-5.246396
0.06897,-5.23007
0.09195,-5.204218
0.11494,-5.172925
0.13793,-5.134829
0.16092,-5.089929
0.18391,-5.038228
0.2069,-4.979722
0.22989,-4.915775
0.25287,-4.845025
0.27586,-4.770194
0.29885,-4.689919
0.32184,-4.606924
0.34483,-4.521207
0.36782,-4.438212
0.3908,-4.364741
0.41379,-4.322563
0.43678,-4.333447
0.45977,-4.389231
0.48276,-4.461341
0.50575,-4.530731
0.52874,-4.589236
0.55172,-4.635496
0.57471,-4.666789
0.5977,-4.685837
0.62069,-4.69128
0.64368,-4.689919
0.66667,-4.688559
,
,
0.0,-1.296633
0.02299,-1.334729
0.04598,-1.440854
0.06897,-1.597321
0.09195,-1.78372
0.11494,-1.987807
0.13793,-2.200058
0.16092,-2.413669
0.18391,-2.624559
0.2069,-2.830006
0.22989,-3.02593
0.25287,-3.212329
0.27586,-3.387844
0.29885,-3.549753
0.32184,-3.698056
0.34483,-3.830032
0.36782,-3.947042
0.3908,-4.046365
0.41379,-4.12936
0.43678,-4.194668
0.45977,-4.243649
0.48276,-4.273582
0.50575,-4.287188
0.52874,-4.283106
0.55172,-4.266779
0.57471,-4.235485
0.5977,-4.196028
0.62069,-4.15113
0.64368,-4.106231
0.66667,-4.066773
,
,
0.0,-1.296633
0.02299,-1.306157
0.04598,-1.332008
0.06897,-1.380988
0.09195,-1.461263
0.11494,-1.582355
0.13793,-1.745624
0.16092,-1.940187
0.18391,-2.149716
0.2069,-2.364688
0.22989,-2.578299
0.25287,-2.787828
0.27586,-2.989194
0.29885,-3.182396
0.32184,-3.364714
0.34483,-3.532065
0.36782,-3.68309
0.3908,-3.806903
0.41379,-3.883095
0.43678,-3.889898
0.45977,-3.836836
0.48276,-3.75384
0.50575,-3.670845
0.52874,-3.627306
0.55172,-3.669484
0.57471,-3.759283
0.5977,-3.854523
0.62069,-3.942961
0.64368,-4.016432
0.66667,-4.066773
,
,
0.0,-0.326539
0.02299,-0.383684
0.04598,-0.527905
0.06897,-0.708862
0.09195,-0.889819
0.11494,-1.051728
0.13793,-1.185065
0.16092,-1.297993
0.18391,-1.404119
0.2069,-1.512965
0.22989,-1.627254
0.25287,-1.748345
0.27586,-1.8776
0.29885,-2.013658
0.32184,-2.155159
0.34483,-2.302101
0.36782,-2.450405
0.3908,-2.598708
0.41379,-2.747011
0.43678,-2.892593
0.45977,-3.034093
0.48276,-3.16743
0.50575,-3.281719
0.52874,-3.345666
0.55172,-3.311651
0.57471,-3.223214
0.5977,-3.11981
0.62069,-3.013685
0.64368,-2.911641
0.66667,-2.917084
,
,
0.0,-0.326539
0.02299,-0.3279
0.04598,-0.334703
0.06897,-0.35103
0.09195,-0.380962
0.11494,-0.42178
0.13793,-0.476203
0.16092,-0.544232
0.18391,-0.623146
0.2069,-0.715665
0.22989,-0.817709
0.25287,-0.930637
0.27586,-1.051728
0.29885,-1.180983
0.32184,-1.31432
0.34483,-1.453099
0.36782,-1.593239
0.3908,-1.733379
0.41379,-1.873519
0.43678,-2.012298
0.45977,-2.146995
0.48276,-2.27625
0.50575,-2.400063
0.52874,-2.515712
0.55172,-2.621838
0.57471,-2.717078
0.5977,-2.798713
0.62069,-2.8613
0.64368,-2.903477
0.66667,-2.816401
,
,
0.0,0.0
0.02299,-0.004082
0.04598,-0.016327
0.06897,-0.038096
0.09195,-0.06939
0.11494,-0.111568
0.13793,-0.16463
0.16092,-0.227217
0.18391,-0.300688
0.2069,-0.386405
0.22989,-0.481645
0.25287,-0.58641
0.27586,-0.699338
0.29885,-0.82043
0.32184,-0.948324
0.34483,-1.080301
0.36782,-1.214998
0.3908,-1.352417
0.41379,-1.489835
0.43678,-1.627254
0.45977,-1.763312
0.48276,-1.898009
0.50575,-2.028625
0.52874,-2.156519
0.55172,-2.278971
0.57471,-2.397342
0.5977,-2.51027
0.62069,-2.619117
0.64368,-2.72116
0.66667,-2.816401
,
,
0.0,0.768728
0.02299,0.827233
0.04598,0.976896
0.06897,1.168738
0.09195,1.375546
0.11494,1.582355
0.13793,1.778278
0.16092,1.94699
0.18391,2.06536
0.2069,2.102096
0.22989,2.073524
0.25287,2.01638
0.27586,1.949711
0.29885,1.8776
